ano,id_municipio,avg_wage_dec,n_employ_dec
2021,3202207,1412.501556,2842
2021,3203353,1377.453324,2384
2019,3205309,3076.947952,218118
2019,3200409,2027.834854,6599
2019,3202306,1300.543947,4334
2018,1502152,2515.647616,11926
2018,1505304,2165.936015,6293
2018,1500131,1193.499162,739
2018,1502103,1911.702428,6179
2016,3203346,1040.286458,3728
2016,5104203,1416.560093,1482
2016,5106109,1505.056358,1628
2016,5106182,1214.655378,959
2016,5106307,1298.043405,4691
2016,5106315,1649.103412,171
2016,5107008,1227.402892,2542
2017,1500404,1595.092197,2971
2017,1508308,1458.893535,1859
2017,1508084,1606.032773,4431
2015,5100607,1920.341975,2895
2015,5103908,1217.037009,824
2015,5104500,1030.798687,394
2015,5107206,1122.948608,575
2015,5107305,1270.394536,3279
2015,5107354,1064.758017,1060
2015,5107875,1448.302867,8869
2014,5201405,977.5694442,113853
2014,5203559,1054.279655,610
2014,5204300,1372.476486,3471
2014,5211909,1131.699911,21045
2014,5213707,1077.44371,1739
2014,5213756,1080.755782,2332
2014,5213772,1288.376111,329
2014,5214838,1081.111355,2441
2014,5219308,997.0599297,8964
2014,5221197,834.7326739,1075
2017,5101803,1424.663688,13681
2017,5107602,1542.583646,56238
2017,5106299,1326.956816,1766
2017,5103908,1254.882891,850
2017,5107198,1859.273743,330
2014,2303808,998.9373237,1378
2014,2307403,563.2710704,1777
2014,2311504,666.6565258,2660
2022,3200102,2104.137013,4103
2022,3204252,1430.355714,874
2022,3204401,1758.988988,1735
2021,5106828,1924.493179,1604
2021,5103361,1898.524826,609
2021,5102850,1592.210534,867
2021,5101209,1818.137411,189
2022,5106752,1670.701479,12586
2022,5106505,2016.191729,4757
2022,5100300,1864.048479,3359
2021,1502400,1416.074807,34802
2021,1505064,1758.857618,4423
2021,1502152,2226.558501,22629
2021,1505403,1638.434719,877
2016,1504109,1640.854662,1291
2016,1505700,1218.888233,1299
2016,2300309,1287.161439,2402
2016,2301901,1200.88339,9133
2016,2303402,1168.762116,1017
2016,2304400,1741.316505,773033
2016,2304905,1154.759951,538
2016,2307205,849.695308,584
2016,2307304,1114.181223,48204
2016,2310407,1488.074498,684
2016,2311231,1023.607692,520
2016,2313351,1078.056032,1087
2016,2313757,1145.180124,897
2015,1508001,1033.134613,7536
2019,2600708,897.6052919,3862
2019,2608909,1132.923818,7467
2019,2611309,1401.496598,2962
2019,2600807,1263.542119,1210
2014,2610202,1019.893247,1757
2014,2613701,904.6790702,9145
2014,2614105,993.2865823,2142
2022,1506138,1602.527229,16455
2022,1500701,2159.64615,1227
2022,1506195,2267.129467,2318
2022,1505700,1726.794628,1960
2019,2301109,1188.311175,10684
2019,2307601,1367.426715,7058
2019,2308500,1150.314123,2572
2019,2310704,1293.576537,4428
2019,2310100,1210.64356,821
2019,2313104,1337.071134,2321
2019,2300507,912.5462401,958
2019,2301802,1289.610886,695
2019,2305654,1087.337086,768
2019,2308609,1437.14481,1267
2020,5209101,1911.875453,9586
2020,5221007,1014.933854,678
2020,5220603,1439.953043,3398
2020,5219357,1416.391976,375
2020,5219753,1559.103333,5018
2020,5200852,1221.321298,483
2020,5214903,1582.110059,392
2020,5220264,1423.107438,649
2020,5209804,1158.197732,382
2020,5219605,1614.835063,403
2020,5209606,1225.365848,412
2020,5221577,1506.009509,249
2018,2307700,1207.095969,15214
2018,2308203,1169.519849,1080
2018,2308302,1520.06529,1622
2018,2313955,911.0554383,1490
2018,2300309,1349.065882,2725
2018,2304806,1172.282935,587
2018,2305209,1360.263756,1147
2018,2311108,1317.052573,1012
2018,2302305,1267.660909,1707
2018,2313252,1492.949257,506
2020,2612208,1499.398336,6378
2020,2613206,1271.794618,1161
2020,2613800,1422.777699,1434
2020,2601201,1475.758514,8502
2020,2608453,1163.865128,1343
2020,2616506,1404.579718,938
2020,2607000,1190.443279,1112
2020,2612554,1554.575776,328
2016,5200209,984.9670492,131
2016,5200506,1216.461401,251
2016,5204557,1255.081484,375
2016,5204805,929.3933999,1367
2016,5210406,1065.203648,8096
2016,5215306,1231.996119,2535
2016,5219001,723.4074698,1206
2016,5219506,1198.241827,340
2016,5219704,1267.830269,1009
2016,5221080,1097.976073,243
2018,5217609,1434.874668,6763
2018,5205109,1717.325498,25104
2018,5210901,1036.646934,2880
2018,5210208,1677.6765,4947
2018,5204557,1313.689107,394
2018,5200050,1138.561027,1816
2018,5205521,1706.159534,314
2018,5209606,1006.889069,451
2020,2311405,1173.544824,10506
2020,2309607,1280.516345,7270
2020,2304954,1147.145004,1351
2016,2602506,1295.197453,495
2016,2604205,1162.129922,2239
2016,2610608,669.4733785,5655
2016,2611002,1580.876125,4418
2016,2611309,1469.011094,2089
2016,2613503,1060.19912,2335
2019,5219308,1355.401774,6503
2019,5200134,1471.406357,3168
2019,5213756,1610.849561,2570
2019,5214879,1530.858033,254
2019,5203962,1082.005857,329
2019,5220702,1227.255842,261
2019,5220264,1214.011586,805
2019,5203609,1071.294245,354
2017,2314102,1368.654672,3046
2017,2309300,1035.917733,1978
2017,2311405,1178.387215,5814
2017,2312106,1333.646851,1077
2017,2313609,1507.379095,3099
2017,2310852,1073.60333,1469
2017,2303600,921.4235746,575
2021,2309003,1199.023469,612
2021,2304202,1379.392537,17655
2021,2301307,3843.104124,1363
2021,2303956,1007.221117,969
2021,2311264,2290.949174,1275
2021,2302305,1597.610669,1755
2021,2308807,1274.384791,685
2015,2301851,1288.986705,1341
2015,2302008,1030.587803,1156
2015,2308807,941.8615923,590
2015,2310704,953.5714463,4332
2015,2312502,1044.665845,507
2015,2312908,1202.496683,46953
2015,2313302,1057.176112,5239
2015,2313609,1164.367951,3063
2017,2604106,1269.841429,72792
2017,2607802,1122.294988,750
2017,2606200,1765.488595,18891
2017,2611804,1192.876981,3616
2017,2614204,1092.775053,8090
2017,2604601,1263.165697,1715
2022,2311405,1437.503795,13018
2022,2300408,1375.780952,1269
2022,2304350,1280.627776,2153
2022,2300804,1934.585751,663
2022,2301703,1327.254205,1484
2022,2310100,1800.46609,594
2018,2607752,2328.370824,5390
2018,2600302,4992.361687,1557
2018,2604007,1321.072427,11293
2018,2611804,1155.744298,3629
2018,2606507,1476.92294,1139
2018,2602605,1565.330058,2183
2018,2607000,1324.753737,1331
2018,2606903,1811.355969,436
2017,5209101,1816.048807,9344
2017,5208400,1281.555473,1433
2017,5203302,1650.809094,5680
2017,5214408,1305.152559,1390
2017,5218904,1359.635053,3858
2017,5216452,2124.360976,1622
2017,5204854,1469.844696,1181
2017,5205802,1325.062517,1197
2017,5201207,1367.388186,169
2017,5206602,1332.233586,318
2015,2604205,1172.839875,1725
2015,2606408,1058.479512,9332
2015,2612000,1087.734158,1071
2015,2615904,1081.936993,645
2014,2900504,852.1659091,407
2014,2904209,1170.857907,420
2014,2905701,2040.602391,81646
2014,2908002,1028.622295,1823
2014,2910107,1048.279782,611
2014,2910859,1081.032935,920
2014,2912608,1121.566513,220
2014,2919207,917.0061107,139010
2014,2920908,968.6182887,972
2014,2924900,705.7438397,354
2014,2926608,970.5241168,4204
2014,2926707,949.3313731,685
2014,2930402,686.6789191,1072
2014,2930808,1623.846239,586
2014,2932002,880.6930844,1495
2015,5204409,1313.028863,2166
2015,5205703,950.4886456,407
