ano,id_municipio,avg_wage_dec,n_employ_dec,pop,nome,treated_group,treated_after_treatment
2020,3122900.0,989.5737349,858,"6,664",Dona Euzébia,0,0
2020,3114709.0,1589.617158,372,"3,614",Carvalhópolis,0,0
2020,3126406.0,1381.290812,434,"2,986",Fortuna de Minas,1,1
2020,3131000.0,1464.184306,1135,"6,352",Inhaúma,0,0
2020,3120904.0,1184.644461,17784,"81,085",Curvelo,0,0
2020,3145604.0,1280.44888,9486,"41,987",Oliveira,0,0
2020,3166907.0,1109.126262,1065,"7,667",Serrania,0,0
2020,3138203.0,1974.176865,24296,"105,756",Lavras,0,0
2020,3139706.0,1177.958975,1469,"8,113",Maravilhas,1,1
2020,3154200.0,1280.598901,1287,"11,578",Resende Costa,0,0
2020,3147303.0,1669.698312,4622,"21,353",Paraisópolis,0,0
2020,3162005.0,1229.364529,4916,"25,670",São Gonçalo do Sapucaí,0,0
2020,3152907.0,1356.363146,1064,"8,530",Pratápolis,0,0
2020,3145505.0,1276.410837,350,"2,829",Olímpio Noronha,0,0
2020,3113305.0,1229.926366,4682,"33,022",Carangola,0,0
2020,3107406.0,1283.656251,11369,"51,436",Bom Despacho,0,0
2020,3136652.0,1894.464714,6765,"27,823",Juatuba,1,1
2020,3145901.0,2309.533388,12570,"40,220",Ouro Branco,0,0
2020,3165537.0,1827.122527,8018,"34,050",Sarzedo,0,0
2020,3131406.0,1369.059232,1073,"4,229",Ipiaçu,0,0
2020,3106002.0,1779.037149,1346,"10,269",Bela Vista de Minas,0,0
2020,3155801.0,2050.115279,3262,"18,007",Rio Pomba,0,0
2020,3130002.0,1503.83009,335,"3,003",Ibituruna,0,0
2020,3146909.0,1100.354091,3322,"15,922",Papagaios,1,1
2020,3152006.0,1473.830641,5650,"32,248",Pompéu,1,1
2020,3135100.0,1249.48212,11730,"72,374",Janaúba,0,0
2020,3138302.0,1355.871514,378,"3,222",Leandro Ferreira,0,0
2020,3110509.0,1356.679064,5589,"21,831",Camanducaia,0,0
2020,3142205.0,1223.231297,2027,"15,205",Miraí,0,0
2020,3135902.0,1233.116146,647,"4,774",Jesuânia,0,0
2020,3120805.0,1183.113451,2811,"15,529",Cruzília,0,0
2020,3164704.0,1335.396593,17384,"71,915",São Sebastião do Paraíso,0,0
2020,3147105.0,1383.532434,27957,"95,616",Pará de Minas,1,1
2020,3102308.0,1477.681537,2330,"15,135",Alvinópolis,0,0
2020,3133808.0,1565.638563,26114,"94,455",Itaúna,0,0
2020,3121605.0,2843.654409,9218,"47,924",Diamantina,0,0
2020,3126000.0,1211.63523,1265,"7,602",Florestal,1,1
2020,3163904.0,1365.434184,528,"4,563",São Pedro da União,0,0
2020,3158953.0,1364.900976,5120,"36,048",Santana do Paraíso,0,0
2020,3131208.0,1323.379262,1939,"20,133",Ipanema,0,0
2020,3164407.0,1299.55424,1689,"5,598",São Sebastião da Bela Vista,0,0
2020,3140159.0,1172.649329,1293,"15,814",Mário Campos,1,1
2020,3149606.0,1457.569537,630,"4,457",Pequi,1,1
2020,3115904.0,1253.599704,298,"3,216",Chácara,0,0
2020,3138401.0,1184.971041,10311,"52,690",Leopoldina,0,0
2020,3152600.0,1484.485841,1564,"5,862",Pouso Alto,0,0
2020,3155306.0,1245.705659,516,"5,924",Rio Manso,0,0
2020,3139003.0,1319.455363,8827,"42,682",Machado,0,0
2020,3129905.0,1442.385602,341,"3,497",Ibitiúra de Minas,0,0
2020,3110301.0,1865.117258,1785,"14,600",Caldas,0,0
2020,3114303.0,1601.439126,4897,"30,339",Carmo do Paranaíba,0,0
2020,3123601.0,1348.466303,5331,"28,556",Elói Mendes,0,0
2020,3162203.0,1283.86874,1270,"7,541",São João Batista do Glória,0,0
2020,3125200.0,1527.589094,253,"2,374",Fama,0,0
2020,3169000.0,1148.174672,2663,"16,769",Tocantins,0,0
2020,3152709.0,1100.407279,1783,"9,128",Prados,0,0
2020,3154804.0,1690.179853,1342,"10,524",Rio Acima,0,0
2020,3101607.0,1848.694631,21894,"80,973",Alfenas,0,0
2019,3120805.0,1259.142994,2746,"15,529",Cruzília,0,0
2019,3131406.0,1230.788025,825,"4,229",Ipiaçu,0,0
2019,3147303.0,1656.781306,4364,"21,353",Paraisópolis,0,0
2019,3120904.0,1155.530012,18367,"81,085",Curvelo,0,0
2019,3130002.0,1337.199368,373,"3,003",Ibituruna,0,0
2019,3152907.0,1273.970763,1114,"8,530",Pratápolis,0,0
2019,3113305.0,1284.795758,5046,"33,022",Carangola,0,0
2019,3166907.0,985.7410087,1148,"7,667",Serrania,0,0
2019,3155801.0,2016.975002,3425,"18,007",Rio Pomba,0,0
