Ano,Codigo do Municipio,Nome do Municipio,Nome da Unidade da Federacao,Valor adicionado bruto da Agropecuaria (1000),Valor adicionado bruto da Industria (1000),Valor adicionado bruto dos Serviços (1000),Valor adicionado bruto da Adm (1000),Valor adicionado bruto total (1000),"Impostos, liq de Subsidios, sobre produtos (1000)",PIB (1000),PIB per Capita (1)
2015,3118908,Cordisburgo,Minas Gerais,24355.407,5422.911,27104.547,31325.118,88207.982,3351.755,91559.737,10175.57
2015,3119005,Cordislândia,Minas Gerais,15848.829,4444.111,12677.624,16076.341,49046.905,1732.043,50778.948,14211.85
2015,3119104,Corinto,Minas Gerais,47932.449,19767.164,120330.123,86264.598,274294.334,15449.082,289743.416,11859.18
2015,3119203,Coroaci,Minas Gerais,19634.967,5513.822,22347.612,38893.763,86390.163,2562.914,88953.077,8558.94
2015,3119302,Coromandel,Minas Gerais,291261.943,81649.359,276833.513,106729.307,756474.123,49498.201,805972.324,28323.46
2015,3119401,Coronel Fabriciano,Minas Gerais,4066.894,154869.349,902697.865,352602.138,1414236.246,123003.087,1537239.334,14056.3
2015,3119500,Coronel Murta,Minas Gerais,6081.963,9374.662,23084.286,35745.051,74285.962,2474.5,76760.462,8166.01
2015,3119609,Coronel Pacheco,Minas Gerais,7740.567,2525.439,11315.572,14087.436,35669.015,1223.653,36892.667,11862.59
2015,3119708,Coronel Xavier Chaves,Minas Gerais,10439.288,2848.843,12311.169,15316.737,40916.036,1622.529,42538.565,12326.45
2015,3119807,Córrego Danta,Minas Gerais,15671.746,4821.317,46227.207,15332.614,82052.884,9066.094,91118.978,26870.83
2015,3119906,Córrego do Bom Jesus,Minas Gerais,4011.539,1319.557,10699.697,15473.749,31504.542,1098.612,32603.154,8555.01
2015,3119955,Córrego Fundo,Minas Gerais,12889.254,56551.002,40453.401,25741.386,135635.042,20247.926,155882.968,25114.06
2015,3120003,Córrego Novo,Minas Gerais,5780.334,1333.938,7477.386,14030.894,28622.552,819.606,29442.158,9710.47
2015,3120102,Couto de Magalhães de Minas,Minas Gerais,10581.177,2868.744,18518.999,18578.254,50547.175,4786.53,55333.705,12541.64
2015,3120151,Crisólita,Minas Gerais,12194.467,1109.525,9263.964,24453.471,47021.428,1090.087,48111.515,7373.41
2015,3120201,Cristais,Minas Gerais,48893.092,9053.21,51411.553,45872.774,155230.629,5665.045,160895.674,13062.89
2015,3120300,Cristália,Minas Gerais,2565.058,1661.444,9575.603,22733.412,36535.517,1030.468,37565.985,6250.58
2015,3120409,Cristiano Otoni,Minas Gerais,9917.771,8069.647,41692.772,21279.215,80959.405,7588.901,88548.306,17015.43
2015,3120508,Cristina,Minas Gerais,27401.55,31714.098,40862.241,37231.269,137209.158,7570.247,144779.405,13809.56
2015,3120607,Crucilândia,Minas Gerais,7812.939,5827.967,16574.609,20822.729,51038.243,2633.355,53671.599,10704.35
2015,3120706,Cruzeiro da Fortaleza,Minas Gerais,26546.855,5316.324,21564.301,19514.038,72941.517,3366.8,76308.318,18431.96
2015,3120805,Cruzília,Minas Gerais,27079.286,19983.221,84391.321,53922.956,185376.783,10372.812,195749.595,12736.65
2015,3120839,Cuparaque,Minas Gerais,6630.608,4207.538,15298.446,17963.825,44100.417,1884.065,45984.481,9295.43
2015,3120870,Curral de Dentro,Minas Gerais,11636.451,2440.787,14344.872,27200.289,55622.399,1904.407,57526.806,7679.46
2015,3120904,Curvelo,Minas Gerais,132019.281,160414.452,688349.193,268782.908,1249565.834,120293.31,1369859.145,17361.97
2015,3121001,Datas,Minas Gerais,10036.03,1548.426,13021.422,21657.217,46263.095,1234.28,47497.375,8729.53
2015,3121100,Delfim Moreira,Minas Gerais,21361.397,8715.318,22122.08,28865.696,81064.492,3068.499,84132.991,10258.87
2015,3121209,Delfinópolis,Minas Gerais,44211.779,8181.979,40684.794,33708.418,126786.97,5425.568,132212.537,18509.39
2015,3121258,Delta,Minas Gerais,10627.884,116870.06,100384.489,38520.083,266402.516,38702.277,305104.793,32119.68
2015,3121308,Descoberto,Minas Gerais,4363.546,8621.034,15721.482,20689.69,49395.752,2941.596,52337.348,10446.58
2015,3121407,Desterro de Entre Rios,Minas Gerais,10534.863,4315.598,22831.913,24062.888,61745.261,3185.09,64930.352,8897.01
2015,3121506,Desterro do Melo,Minas Gerais,7065.367,1872.994,9212.622,14495.706,32646.689,1049.89,33696.579,11099.01
