,NOME_MUN,COD_MUN,ANO,COD_UF,NOME_UF,VA_AGRO,VA_IND,VA_SERV,VA_ADM,VA_TOT,IMPOSTOS_INDIRETOS_LIQ_SUBSIDIOS,PIB,PIB_PER_CAPITA,POP,POP_RURAL,PROPORCAO_DA_POP_RURAL,VA_AGRO_PER_CAPITA,VA_IND_PER_CAPITA,VA_SERV_PER_CAPITA,VA_ADM_PER_CAPITA,VA_TOT_PER_CAPITA,IMPOSTOS_INDIRETOS_LIQ_SUBSIDIOS_PER_CAPITA,VA_AGRO_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,EXP_VIDA_AO_NASCER,MORTALIDADE_INFANTIL,IDHM,IDHM_RENDA,IDHM_LONGEVIDADE,IDHM_EDU,REND_MEDIO_FORMAL,TRANSF_PER_CAPITA_BOLSA_FAMILIA,GINI,TAXA_ALFAB,PROP_MENOS_DE_1_SM,PROP_1_A_2_SM,PROP_2_A_5_SM,PROP_5_A_10_SM,PROP_MAIS_DE_10_SM,SIGLA_UF,REMUNERACAO_DEZEMBRO,REMUNERACAO_MEDIA,VINCULOS_ATIVOS,VINCULOS_CLT,VINCULOS_ESTATUTARIOS,NUM_FIRMAS
171,Pouso Alegre,3152501,2012,31,Minas Gerais,60193.695,932528.6,2114886.288,401773.553,3509382.136,685588.369,4194970.505,31255.6,134215.0,,,0.4484870916067504,6.948020713035056,15.75745101516224,2.9935070819207987,26.147465901724843,5.108135223335692,0.0171522201536618,0.2657244391922784,0.6026377880895443,0.1144855525645155,,,,,,,,,,,,,,,,MG,1587.9667617056823,1353.1129988614523,46899.0,42468.0,4431.0,7889.0
172,Pouso Alegre,3152501,2013,31,Minas Gerais,72051.602,1088238.123,2618433.345,469502.997,4248226.066,893609.442,5141835.507,36668.99,140223.0,,,0.5138358329232722,7.760767655805395,18.67335134036499,3.3482595365952803,30.29621435855744,6.372773667657945,0.016960397323639,0.256162950392292,0.6163592295514154,0.1105174229680459,,,,,,,1449.06,29.46,,,,,,,,MG,1784.2190325100703,1490.081281999752,48847.0,44226.0,4621.0,8284.0
173,Pouso Alegre,3152501,2014,31,Minas Gerais,68268.598,1160769.468,3140588.0,517266.548,4886892.614,1038378.861,5925271.475,41705.82,142073.0,,,0.4805177479183237,8.170232683198074,22.10545283058709,3.640850464197983,34.39705372590147,7.308769864787821,0.0139697356566468,0.2375271076500884,0.6426554148136638,0.1058477418796008,,,,,,,1533.0,29.09,,,,,,,,MG,2021.1970177372705,1661.1974221580492,49723.0,44795.0,4928.0,8275.0
174,Pouso Alegre,3152501,2015,31,Minas Gerais,72837.979,1278699.918,3500427.977,570900.701,5422866.576,1130230.914,6553097.49,45556.34,143846.0,,,0.5063608233805598,8.889367226061205,24.334552069574407,3.968832647414596,37.699112773382645,7.857228661207125,0.0134316376733957,0.2357977833456472,0.645494025704386,0.1052765530921666,,,,,,,1437.25,27.9,,,,,,,,MG,2099.5899473162885,1801.3451136363622,47567.0,42630.0,4937.0,8195.0
175,Pouso Alegre,3152501,2016,31,Minas Gerais,101739.233,1368739.853,3617247.351,623678.09,5711404.527,1114146.074,6825550.6,46899.72,145535.0,,,0.699070553475109,9.404884412684233,24.85482771154705,4.285416497749682,39.24419917545608,7.655519799360978,0.0178133474032595,0.2396503078234857,0.6333376201772933,0.1091987245959613,,,,,,,1489.45,28.12,,,,,,,,MG,2434.683647367626,1982.379473715718,45618.0,40989.0,4629.0,8172.0
176,Pouso Alegre,3152501,2017,31,Minas Gerais,66936.552,1317829.092,4083012.725,677316.732,6145095.101,1245714.762,7390809.863,50230.8,147137.0,,,0.4549267145585406,8.95647656265929,27.74973477099574,4.603306659779661,41.76444470799323,8.466359664802193,0.0108926795923967,0.2144521883453923,0.6644344241858138,0.1102207078763971,,,,,,,1554.95,28.93,,,,,,,,MG,2513.238163070258,2157.0819881412604,46793.0,44919.0,1874.0,8164.0
177,Pouso Alegre,3152501,2018,31,Minas Gerais,70155.452,1284994.04,4229480.127,716342.817,6300972.435,1345837.992,7646810.427,51368.45,148862.0,,,0.47127844580887,8.632115919442167,28.412087215004505,4.812126781851648,42.32760835538955,9.040843143313944,0.011134067435418,0.2039358294701062,0.6712424424373792,0.1136876608158023,,,,,,,,,,,,,,,,MG,2613.349803627919,2313.751426319224,48181.0,43612.0,4569.0,8007.0
178,Pouso Alegre,3152501,2019,31,Minas Gerais,67400.416,1580202.268,4838584.53,746955.436,7233142.65,1562930.883,8796073.534,58353.78,150737.0,,,0.4471391629128879,10.483174456172009,32.09951458500567,4.9553555928537785,47.98518379694435,10.368594857267956,0.0093182755078112,0.2184669022115857,0.668946371464138,0.1032684508164649,,,,,,,,,,,,,,,,MG,2707.0278534885333,2332.99615964585,50416.0,46032.0,4384.0,8137.0
179,Pouso Alegre,3152501,2020,31,Minas Gerais,86879.398,1389953.41,4343532.888,732514.939,6552880.636,1587881.388,8140762.024,53364.9,152549.0,,,0.5695179778300743,9.111520953923002,28.47303415951596,4.801833764888658,42.955906862712965,10.408992441772808,0.0132581993822235,0.212113341781921,0.662843279051604,0.1117851796316468,,,,,,,,,,,,,,,,MG,2814.2254716225966,2266.2761608127853,50412.0,46023.0,4389.0,8295.0
180,Pouso Alegre,3152501,2021,31,Minas Gerais,109543.122,2437009.821,5154223.568,807274.108,8508050.619,2212042.76,10720093.38,69478.81,154293.0,,,0.7099681903910093,15.794688164725557,33.4054271289041,5.232085110795694,55.14216859481636,14.336637177318478,0.0128752315783559,0.2864357454053835,0.6058054657655298,0.0948835572507305,,,,,,,,,,,,,,,,MG,3060.9412613325653,2377.960929211455,53970.0,49696.0,4274.0,8821.0
