ANO,COD_UF,NOME_UF,COD_MUN,NOME_MUN,VA_AGRO,VA_IND,VA_SERV,VA_ADM,VA_TOT,IMPOSTOS_INDIRETOS_LIQ_SUBSIDIOS,PIB,PIB_PER_CAPITA
2002,31,Minas Gerais,3105301,Bandeira do Sul,1440.026,1085.275,4710.222,5147.61,12383.132,951.178,13334.311,2600.29
2002,31,Minas Gerais,3105400,Barão de Cocais,1412.972,81249.591,47756.362,26878.75,157297.675,21191.687,178489.362,7350.99
2002,31,Minas Gerais,3105509,Barão de Monte Alto,2158.982,966.084,3497.196,6118.056,12740.318,421.427,13161.745,2109.93
2002,31,Minas Gerais,3105608,Barbacena,19253.743,142584.194,344019.142,127432.234,633289.313,89152.052,722441.365,6112.23
2002,31,Minas Gerais,3105707,Barra Longa,3133.909,610.2,4638.752,6656.81,15039.671,760.017,15799.688,2204.51
2002,31,Minas Gerais,3105905,Barroso,581.844,64873.015,36117.802,18852.499,120425.16,19185.766,139610.926,7447.9
2002,31,Minas Gerais,3106002,Bela Vista de Minas,460.506,2189.515,10664.503,9598.401,22912.924,1957.616,24870.54,2507.62
2002,31,Minas Gerais,3106101,Belmiro Braga,3749.626,3324.091,3021.158,4008.154,14103.029,1669.743,15772.772,4823.48
2002,31,Minas Gerais,3106200,Belo Horizonte,305.001,3780084.59,13585618.877,2510099.68,19876108.148,3564829.427,23440937.575,10186.26
2002,31,Minas Gerais,3106309,Belo Oriente,9631.544,251976.93,72575.131,29856.849,364040.454,64313.732,428354.186,21080.42
2002,31,Minas Gerais,3106408,Belo Vale,2585.568,1441.803,7249.546,8055.598,19332.515,1680.797,21013.312,2786.54
2002,31,Minas Gerais,3106507,Berilo,1674.39,29052.593,10787.549,12223.743,53738.275,1268.312,55006.587,4262.42
2002,31,Minas Gerais,3106606,Bertópolis,2187.466,300.695,1967.903,4713.103,9169.167,241.788,9410.955,2174.94
2002,31,Minas Gerais,3106655,Berizal,757.241,278.694,1787.708,4005.785,6829.429,284.606,7114.035,1721.69
2002,31,Minas Gerais,3106705,Betim,5768.335,2102405.088,1879194.585,466416.074,4453784.082,2341774.705,6795558.786,19659.61
2002,31,Minas Gerais,3106804,Bias Fortes,1774.796,452.172,2392.671,4652.339,9271.979,379.934,9651.913,2265.71
2002,31,Minas Gerais,3106903,Bicas,1525.728,5321.475,29984.18,14013.023,50844.405,5301.672,56146.077,4240.96
2002,31,Minas Gerais,3107000,Biquinhas,3036.325,450.874,2633.559,3479.944,9600.703,471.074,10071.777,3657.14
2002,31,Minas Gerais,3107109,Boa Esperança,22085.065,9527.46,78284.368,38918.927,148815.82,14570.94,163386.76,4272.67
2002,31,Minas Gerais,3107208,Bocaina de Minas,3024.085,471.768,3962.584,5002.308,12460.745,536.932,12997.677,2602.66
2002,31,Minas Gerais,3107307,Bocaiúva,9489.343,37232.987,46672.569,40272.339,133667.239,19908.639,153575.878,3506.78
2002,31,Minas Gerais,3107406,Bom Despacho,20230.019,36369.867,112393.658,37521.202,206514.746,26127.325,232642.071,5637.35
2002,31,Minas Gerais,3107505,Bom Jardim de Minas,1423.326,1269.939,10237.937,7169.608,20100.811,1986.606,22087.416,3267.37
2002,31,Minas Gerais,3107604,Bom Jesus da Penha,6238.945,1346.095,3828.716,4108.269,15522.024,544.759,16066.783,4347.07
2002,31,Minas Gerais,3107703,Bom Jesus do Amparo,2733.901,838.013,5201.617,5011.321,13784.851,712.799,14497.651,3033.62
2002,31,Minas Gerais,3107802,Bom Jesus do Galho,5048.429,1192.134,9275.664,13106.835,28623.061,1247.258,29870.319,1892.2
2002,31,Minas Gerais,3107901,Bom Repouso,7690.547,1259.007,9410.937,9866.053,28226.544,1312.418,29538.962,2690.99
2002,31,Minas Gerais,3108008,Bom Sucesso,17690.556,3970.532,24646.447,15557.588,61865.122,4079.93,65945.053,3826.45
2002,31,Minas Gerais,3108107,Bonfim,2876.786,737.334,5169.094,6826.432,15609.645,850.513,16460.158,2429.54
