ANO,NOME_MUN,GINI
2010,Leme do Prado,0.4129
2010,Leopoldina,0.504
2010,Liberdade,0.6065
2010,Lima Duarte,0.5921
2010,Limeira do Oeste,0.4704
2010,Lontra,0.5135
2010,Luisburgo,0.52
2010,Luislândia,0.5867
2010,Luminárias,0.4085
2010,Luz,0.503
2010,Machacalis,0.4852
2010,Machado,0.5218
2010,Madre de Deus de Minas,0.5208
2010,Malacacheta,0.5399
2010,Mamonas,0.4603
2010,Manga,0.6867
2010,Manhuaçu,0.5063
2010,Manhumirim,0.4914
2010,Mantena,0.5233
2010,Mar de Espanha,0.404
2010,Maravilhas,0.3961
2010,Maria da Fé,0.4863
2010,Mariana,0.5116
2010,Marilac,0.4673
2010,Mário Campos,0.4741
2010,Maripá de Minas,0.4235
2010,Marliéria,0.4115
2010,Marmelópolis,0.4586
2010,Martinho Campos,0.4535
2010,Martins Soares,0.4046
2010,Mata Verde,0.4761
2010,Materlândia,0.4798
2010,Mateus Leme,0.5137
2010,Mathias Lobato,0.5777
2010,Matias Barbosa,0.497
2010,Matias Cardoso,0.5709
2010,Matipó,0.4889
2010,Mato Verde,0.4608
2010,Matozinhos,0.4415
2010,Matutina,0.5982
2010,Medeiros,0.4673
2010,Medina,0.5871
2010,Mendes Pimentel,0.485
2010,Mercês,0.589
2010,Mesquita,0.4773
2010,Minas Novas,0.5014
2010,Minduri,0.4902
2010,Mirabela,0.4864
2010,Miradouro,0.5215
2010,Miraí,0.4561
2010,Miravânia,0.4892
2010,Moeda,0.4385
2010,Moema,0.3857
2010,Monjolos,0.48
2010,Monsenhor Paulo,0.4054
2010,Montalvânia,0.5439
2010,Monte Alegre de Minas,0.4905
2010,Monte Azul,0.5191
2010,Monte Belo,0.4575
2010,Monte Carmelo,0.4979
2010,Monte Formoso,0.5906
2010,Monte Santo de Minas,0.4233
2010,Monte Sião,0.4478
2010,Montes Claros,0.5391
2010,Montezuma,0.4578
2010,Morada Nova de Minas,0.4569
2010,Morro da Garça,0.4732
2010,Morro do Pilar,0.485
2010,Munhoz,0.4901
2010,Muriaé,0.5167
2010,Mutum,0.496
2010,Muzambinho,0.4675
2010,Nacip Raydan,0.6059
2010,Nanuque,0.5149
2010,Naque,0.4389
2010,Natalândia,0.4083
2010,Natércia,0.4043
2010,Nazareno,0.4796
2010,Nepomuceno,0.4488
2010,Ninheira,0.5275
2010,Nova Belém,0.5147
2010,Nova Era,0.474
2010,Nova Lima,0.6914
2010,Nova Módica,0.5078
2010,Nova Ponte,0.5315
2010,Nova Porteirinha,0.4077
2010,Nova Resende,0.4655
2010,Nova Serrana,0.3606
2010,Nova União,0.4223
2010,Novo Cruzeiro,0.5383
2010,Novo Oriente de Minas,0.5621
2010,Novorizonte,0.4386
2010,Olaria,0.4222
2010,Olhos-d'Água,0.4617
2010,Olímpio Noronha,0.4065
2010,Oliveira,0.458
2010,Oliveira Fortes,0.4416
2010,Onça de Pitangui,0.4376
2010,Oratórios,0.3952
2010,Orizânia,0.5562
2010,Ouro Branco,0.5211
2010,Ouro Fino,0.4623
2010,Ouro Preto,0.5109
2010,Ouro Verde de Minas,0.5188
2010,Padre Carvalho,0.4454
2010,Padre Paraíso,0.551
2010,Pai Pedro,0.4678
2010,Paineiras,0.4626
2010,Pains,0.4676
2010,Paiva,0.4476
2010,Palma,0.5087
2010,Palmópolis,0.4627
2010,Papagaios,0.5014
2010,Pará de Minas,0.4348
2010,Paracatu,0.5151
2010,Paraguaçu,0.4196
2010,Paraisópolis,0.4727
2010,Paraopeba,0.4568
2010,Passa Quatro,0.4928
2010,Passa Tempo,0.4979
2010,Passabém,0.4183
2010,Passa-Vinte,0.4592
2010,Passos,0.4978
2010,Patis,0.4725
2010,Patos de Minas,0.5078
2010,Patrocínio,0.4991
