NOME_MUN,TAXA_ALFAB,ANO
Juiz de Fora,96.9,2010
Juramento,85.5,2010
Juruaia,94.2,2010
Juvenília,79.5,2010
Ladainha,73.6,2010
Lagamar,89.9,2010
Lagoa da Prata,94.1,2010
Lagoa dos Patos,85.9,2010
Lagoa Dourada,94.6,2010
Lagoa Formosa,90.0,2010
Lagoa Grande,89.9,2010
Lagoa Santa,95.7,2010
Lajinha,84.6,2010
Lambari,93.1,2010
Lamim,88.0,2010
Laranjal,89.9,2010
Lassance,86.3,2010
Lavras,96.1,2010
Leandro Ferreira,89.2,2010
Leme do Prado,84.5,2010
Leopoldina,93.4,2010
Liberdade,86.4,2010
Lima Duarte,89.9,2010
Limeira do Oeste,88.6,2010
Lontra,80.3,2010
Luisburgo,86.7,2010
Luislândia,83.2,2010
Luminárias,91.4,2010
Luz,92.6,2010
Machacalis,79.0,2010
Machado,92.6,2010
Madre de Deus de Minas,93.4,2010
Malacacheta,77.9,2010
Mamonas,74.0,2010
Manga,79.3,2010
Manhuaçu,92.2,2010
Manhumirim,88.5,2010
Mantena,86.0,2010
Maravilhas,92.3,2010
Mar de Espanha,92.5,2010
Maria da Fé,92.9,2010
Mariana,94.0,2010
Marilac,82.8,2010
Mário Campos,92.7,2010
Maripá de Minas,90.2,2010
Marliéria,89.6,2010
Marmelópolis,90.7,2010
Martinho Campos,91.9,2010
Martins Soares,85.9,2010
Mata Verde,73.4,2010
Materlândia,79.8,2010
Mateus Leme,92.9,2010
Matias Barbosa,93.9,2010
Matias Cardoso,80.1,2010
Matipó,86.8,2010
Mato Verde,80.6,2010
Matozinhos,94.7,2010
Matutina,89.4,2010
Medeiros,94.6,2010
Medina,79.9,2010
Mendes Pimentel,78.0,2010
Mercês,87.0,2010
Mesquita,82.8,2010
Minas Novas,80.0,2010
Minduri,92.5,2010
Mirabela,84.3,2010
Miradouro,87.5,2010
Miraí,89.5,2010
Miravânia,76.6,2010
Moeda,92.5,2010
Moema,94.0,2010
Monjolos,85.4,2010
Monsenhor Paulo,89.9,2010
Montalvânia,80.7,2010
Monte Alegre de Minas,89.6,2010
Monte Azul,79.5,2010
Monte Belo,90.2,2010
Monte Carmelo,93.0,2010
Monte Formoso,75.2,2010
Monte Santo de Minas,88.4,2010
Montes Claros,94.2,2010
Monte Sião,93.3,2010
Montezuma,80.3,2010
