NOME_MUN,PROP_MENOS_DE_1_SM,PROP_1_A_2_SM,PROP_2_A_5_SM,PROP_5_A_10_SM,PROP_MAIS_DE_10_SM,ANO
Carmópolis de Minas,0.3847301328993762,0.20314618931380526,0.07804448060754,0.016680227827502035,0.004882017900732303,2010
Carneirinho,0.3124087591240876,0.22153284671532847,0.124330900243309,0.02165450121654501,0.006447688564476885,2010
Carrancas,0.41960093896713613,0.14524647887323944,0.061619718309859156,0.023767605633802816,0.01085680751173709,2010
Carvalhópolis,0.38932874354561103,0.18278829604130808,0.09500860585197934,0.015146299483648882,0.004475043029259896,2010
Carvalhos,0.43308823529411766,0.14068627450980392,0.05196078431372549,0.0125,0.00392156862745098,2010
Casa Grande,0.39519427402862983,0.13650306748466257,0.04856850715746421,0.006134969325153374,0.0015337423312883436,2010
Cascalho Rico,0.32903745469190493,0.2609746274667741,0.10833668948852195,0.019331453886427707,0.009262988320579944,2010
Cássia,0.33563508399176684,0.2276741252240887,0.10942168514706858,0.024500365181594846,0.009295531505212137,2010
Conceição da Barra de Minas,0.4534179405826363,0.1396019613498702,0.046437842515142776,0.011248918373233344,0.0031727718488606866,2010
Cataguases,0.35957851602517193,0.19467616306486496,0.10093175276842772,0.025415873945070493,0.009772834447208808,2010
Catas Altas,0.3224787363304982,0.17035236938031592,0.1227217496962333,0.014094775212636695,0.004131227217496963,2010
Catas Altas da Noruega,0.47218498659517427,0.10656836461126006,0.041890080428954424,0.00435656836461126,0.0,2010
Catuji,0.3602941176470588,0.07095588235294117,0.022794117647058822,0.0022058823529411764,0.0023897058823529414,2010
Catuti,0.5120018643672803,0.07504078303425775,0.020741085993940808,0.0023304591004427873,0.0009321836401771149,2010
Caxambu,0.3588387710856116,0.16561789434720534,0.08222727513087622,0.03098725609433663,0.010893130981968167,2010
Cedro do Abaeté,0.3988657844990548,0.18052930056710775,0.07277882797731569,0.012287334593572778,0.0,2010
Central de Minas,0.45105729877216916,0.10607094133697136,0.04757844474761255,0.009720327421555252,0.0030695770804911324,2010
Centralina,0.37742841100505337,0.19112857944974734,0.08186412128017967,0.01493542953396968,0.0023582257158899496,2010
Chácara,0.41143088771787595,0.15727604377786786,0.061613295500608026,0.016214025131738953,0.004864207539521687,2010
Chalé,0.472,0.13948717948717948,0.049846153846153846,0.012102564102564103,0.0022564102564102562,2010
