ANO,SIGLA_UF,COD_MUN,REMUNERACAO_DEZEMBRO,REMUNERACAO_MEDIA
2002,MG,3104304,405.1038446014131,363.8030956733695
2002,MG,3104403,375.4086684073106,339.1969281045752
2002,MG,3104452,409.2884967320261,365.6255958549223
2002,MG,3104502,327.85860103626914,318.7222120518686
2002,MG,3104601,315.04232119914326,303.7460905475683
2002,MG,3104700,384.539920212766,363.1113765642774
2002,MG,3104809,332.2178174603175,350.669496855346
2002,MG,3104908,420.96951096892155,377.9419292706035
2002,MG,3105004,377.29309714285756,391.967468805704
2002,MG,3105103,481.175214152701,443.117557832122
2002,MG,3105202,216.6592307692308,165.79211864406773
2002,MG,3105301,431.9272101449276,398.8124225352111
2002,MG,3105400,608.0969659863952,541.2356260554891
2002,MG,3105509,315.7888709677417,297.57921005386004
2002,MG,3105608,583.6033002295385,526.8621027775849
2002,MG,3105707,406.9890180878554,406.5612183908044
2002,MG,3105905,911.3297290985513,590.7545367751062
2002,MG,3106002,362.4962857142857,345.26012547051477
2002,MG,3106101,355.3818648018648,371.6346353322532
2002,MG,3106200,1033.8275352876467,888.8024869465322
2002,MG,3106309,1091.0320936148576,998.6550200343435
2002,MG,3106408,527.6319466248036,581.5818401937047
2002,MG,3106507,1032.6171812464268,911.5775762859615
2002,MG,3106606,338.25759615384624,338.6824884792629
2002,MG,3106655,474.02869346733667,380.10347222222225
2002,MG,3106705,1105.897401305904,968.4846148713109
2002,MG,3106804,332.948237082067,320.9891408114559
2002,MG,3106903,418.5559540229885,416.4984489329267
2002,MG,3107000,387.9863934426229,378.6104761904762
2002,MG,3107109,417.01711856400584,347.16636797161027
2002,MG,3107208,339.298057553957,337.3001935483873
2002,MG,3107307,392.7461425145601,345.71174177215187
2002,MG,3107406,444.3394889018696,402.70859924072823
2002,MG,3107505,365.1390807174888,346.76592485549105
2002,MG,3107604,438.95809644670055,369.4740955137483
2002,MG,3107703,345.2784787472034,339.68234295415976
2002,MG,3107802,363.48298093587533,336.5147100424329
2002,MG,3107901,429.77865753424663,448.36822222222213
2002,MG,3108008,371.63672369103256,337.1595419580419
2002,MG,3108107,519.4026233766233,440.26318584070816
2002,MG,3108206,447.1784049079753,401.9580962566846
2002,MG,3108255,356.7436734693877,380.11623188405815
2002,MG,3108305,400.94667239404373,364.5839276910447
2002,MG,3108404,353.0009389067518,326.3446423482474
2002,MG,3108503,411.7256428571427,385.06680519480506
2002,MG,3108552,619.9558353127472,475.9199924012153
2002,MG,3108602,367.2706966618284,365.59026699029084
2002,MG,3108701,428.9501826484018,424.9757201646089
2002,MG,3108800,512.2031527093596,463.6590666666668
2002,MG,3108909,382.33220271348745,417.34150211992835
2002,MG,3109006,672.475861400533,679.581005864581
2002,MG,3109105,385.0530935251799,368.32757894736847
2002,MG,3109204,339.6677874818052,362.7515081206494
2002,MG,3109253,302.8467605633805,296.8321176470588
2002,MG,3109303,420.5398008849559,370.94448310139205
2002,MG,3109402,329.89600070101596,304.56974100171414
2002,MG,3109451,358.0318208955224,366.92802564102544
2002,MG,3109501,354.7458088694566,328.38338225593674
2002,MG,3109600,626.4987375886521,536.9664590163923
2002,MG,3109709,361.591845360825,357.828270013568
2002,MG,3109808,467.14376163873357,465.07053884711814
2002,MG,3109907,489.81127079174973,440.0319169510804
2002,MG,3110004,430.90507620528814,436.60485004284465
2002,MG,3110103,400.5858843537415,368.37933333333297
2002,MG,3110202,339.5379472140764,310.2837772925767
2002,MG,3110301,583.375011583012,525.1250651658778
2002,MG,3110400,439.28061855670074,400.4705511811025
2002,MG,3110509,480.86945696342804,456.3447148102821
2002,MG,3110608,578.491783358701,512.5973334595003
2002,MG,3110707,362.29104069379576,307.1703886805322
2002,MG,3110806,362.9272615384617,358.21539726027396
2002,MG,3110905,399.1397117422631,357.6319476584025
2002,MG,3111002,389.59309167446185,340.65716119208236
2002,MG,3111101,425.6497477187336,573.3774783974859
2002,MG,3111150,304.0774233128835,304.67056680161966
