ANO,SIGLA_UF,COD_MUN,REMUNERACAO_DEZEMBRO,REMUNERACAO_MEDIA,VINCULOS_ATIVOS,VINCULOS_CLT,VINCULOS_ESTATUTARIOS,NUM_FIRMAS
2002,MG,3115458,311.5252529182879,352.3505063291142,240.0,104.0,136.0,89.0
2002,MG,3115474,498.27443609022566,352.81932038834964,285.0,8.0,277.0,59.0
2002,MG,3115508,487.545209022557,435.65023795119936,3300.0,2822.0,478.0,1407.0
2002,MG,3115607,535.314632352941,529.5635064935066,136.0,18.0,118.0,37.0
2002,MG,3115706,374.6451984126983,371.7086173633441,261.0,114.0,147.0,276.0
2002,MG,3115805,418.49843750000014,410.0947231715649,832.0,454.0,378.0,411.0
2002,MG,3115904,398.45112970711295,373.7197569444442,228.0,228.0,0.0,119.0
2002,MG,3116001,492.9084905660378,474.5115234375001,194.0,81.0,113.0,110.0
2002,MG,3116100,366.86460176991113,329.96942965779454,396.0,58.0,338.0,152.0
2002,MG,3116159,355.98551724137934,340.14322580645154,27.0,24.0,3.0,112.0
2002,MG,3116209,352.5300823045267,340.0114801444042,210.0,122.0,88.0,70.0
2002,MG,3116308,362.0390079365079,383.082909090909,235.0,48.0,187.0,80.0
2002,MG,3116407,425.5887793427232,459.371300211417,460.0,351.0,109.0,197.0
2002,MG,3116506,322.52220055710325,285.9003105590066,324.0,183.0,141.0,201.0
2002,MG,3116605,463.0480012479216,406.1212136728474,4732.0,4261.0,471.0,992.0
2002,MG,3116704,415.6728964059196,362.0624281609197,477.0,280.0,197.0,212.0
2002,MG,3116803,332.8107407407408,325.23929487179487,278.0,60.0,218.0,180.0
2002,MG,3116902,501.6075682819381,417.23986985944833,1184.0,1045.0,139.0,162.0
2002,MG,3117009,295.6307310704961,379.81858769931625,299.0,62.0,237.0,123.0
2002,MG,3117108,368.44947526236894,362.2744604316547,645.0,457.0,188.0,332.0
2002,MG,3117207,498.2653875968994,520.5591267605632,267.0,137.0,130.0,105.0
2002,MG,3117306,656.0841749011847,636.094273892153,2056.0,1370.0,686.0,814.0
2002,MG,3117405,553.391013215859,338.9467680608366,185.0,39.0,146.0,81.0
2002,MG,3117504,445.34882629107983,527.4648506571094,1037.0,569.0,468.0,420.0
2002,MG,3117603,563.1965670103098,510.877141726049,903.0,751.0,152.0,225.0
2002,MG,3117702,467.6478425294482,331.4389780814116,1543.0,1196.0,347.0,646.0
2002,MG,3117801,422.3260916442049,388.2601364942532,1119.0,901.0,218.0,494.0
2002,MG,3117836,402.95766355140177,347.9697899159663,236.0,4.0,232.0,38.0
2002,MG,3117876,920.5242369020496,806.2311120196244,859.0,718.0,141.0,187.0
2002,MG,3117900,419.8041684434969,388.2002063492065,928.0,679.0,249.0,296.0
2002,MG,3118007,592.7474432,539.0223833895549,6079.0,3762.0,2317.0,1585.0
2002,MG,3118106,490.5978606965176,489.2235102040817,200.0,14.0,186.0,47.0
2002,MG,3118205,507.13961732124926,462.1534582542696,807.0,567.0,240.0,345.0
2002,MG,3118304,490.3175822033138,443.1380456243351,10438.0,9348.0,1090.0,4059.0
2002,MG,3118403,541.7033174508638,408.4647908921926,1469.0,1109.0,360.0,732.0
2002,MG,3118502,736.6748863636362,646.4915813953495,181.0,110.0,71.0,61.0
2002,MG,3118601,748.7295924964412,679.0381131001485,114559.0,104157.0,10402.0,18150.0
2002,MG,3118700,400.5893340732518,350.74267630057744,870.0,605.0,265.0,435.0
2002,MG,3118809,291.4108723404255,274.9892002559178,954.0,579.0,375.0,471.0
2002,MG,3118908,348.2215964912282,378.1071555555557,463.0,271.0,192.0,276.0
2002,MG,3119005,351.66666666666663,320.53898437500004,425.0,268.0,157.0,133.0
2002,MG,3119104,333.7630882352939,311.64557142857143,2321.0,1685.0,636.0,1029.0
2002,MG,3119203,303.2911952191235,314.1570024570027,372.0,125.0,247.0,172.0
2002,MG,3119302,443.5923026108839,398.0103726708081,3042.0,2392.0,650.0,1295.0
2002,MG,3119401,531.1870023257819,474.8475913804125,11327.0,10099.0,1228.0,3475.0
2002,MG,3119500,390.2020454545456,286.7478109452736,180.0,87.0,93.0,160.0
2002,MG,3119609,394.09660427807495,389.5814977973568,386.0,225.0,161.0,108.0
2002,MG,3119708,553.8382407407408,434.869965397924,200.0,112.0,88.0,105.0
2002,MG,3119807,360.3127247956402,326.50954128440384,363.0,154.0,209.0,128.0
2002,MG,3119906,496.1938607594937,428.77756906077366,164.0,158.0,6.0,54.0
2002,MG,3119955,362.561606475716,350.2394406033941,744.0,601.0,143.0,256.0
2002,MG,3120003,285.76828767123305,321.217435897436,319.0,77.0,242.0,74.0
2002,MG,3120102,463.83603636363614,424.4801125175807,547.0,358.0,189.0,180.0
2002,MG,3120151,373.3560759493672,281.11746630727765,156.0,73.0,83.0,108.0
2002,MG,3120201,259.3765704697984,261.5778557692305,1491.0,1204.0,287.0,438.0
2002,MG,3120300,615.2915868263476,322.5050223214285,221.0,96.0,125.0,106.0
2002,MG,3120409,400.3383911671925,365.23741854636535,634.0,428.0,206.0,127.0
2002,MG,3120508,382.3552151238591,380.75264417845466,782.0,479.0,303.0,440.0
2002,MG,3120607,466.3197769516728,478.5651384615384,264.0,121.0,143.0,119.0
2002,MG,3120706,419.5012156862746,404.9504751619869,240.0,90.0,150.0,131.0
2002,MG,3120805,396.5366452074398,377.6781228273465,1390.0,1005.0,385.0,627.0
2002,MG,3120839,341.4385620915032,322.7300558659216,143.0,5.0,138.0,78.0
2002,MG,3120870,330.71033412887834,303.4393372319684,418.0,178.0,240.0,71.0
2002,MG,3120904,460.4710268752504,426.6893086901098,9792.0,8521.0,1271.0,3247.0
2002,MG,3121001,323.5186054421771,297.03582633053225,321.0,85.0,236.0,81.0
2002,MG,3121100,368.5773353751912,345.98845070422544,661.0,468.0,193.0,335.0
2002,MG,3121209,502.7274079754604,420.7010021786496,637.0,623.0,14.0,300.0
2002,MG,3121258,636.4543361691163,530.0990182011441,4046.0,3901.0,145.0,283.0
2002,MG,3121308,322.44796774193514,318.6380240963853,602.0,401.0,201.0,244.0
2002,MG,3121407,361.1117316017316,348.4604676258993,232.0,176.0,56.0,115.0
2002,MG,3121506,388.2679615384616,382.16632996633007,254.0,99.0,155.0,118.0
2002,MG,3121605,442.6032622243525,405.2557209122543,4178.0,3426.0,752.0,1646.0
2002,MG,3121704,447.93,382.942641509434,158.0,25.0,133.0,48.0
2002,MG,3121803,272.37755120213734,273.5291100055278,1195.0,993.0,202.0,301.0
2002,MG,3121902,372.514498141264,347.35412140575073,280.0,96.0,184.0,102.0
2002,MG,3122009,397.60790609137,408.9786445783131,760.0,507.0,253.0,471.0
2002,MG,3122108,575.4138461538457,404.0005952380951,226.0,49.0,177.0,95.0
2002,MG,3122207,408.5283190883191,406.7384367816096,355.0,187.0,168.0,98.0
