NOME_MUN,EXP_VIDA_AO_NASCER,MORTALIDADE_INFANTIL,IDHM,IDHM_RENDA,IDHM_LONGEVIDADE,IDHM_EDU,ANO,REND_MEDIO_FORMAL,TRANSF_PER_CAPITA_BOLSA_FAMILIA
Presidente Juscelino,,,,,,,2014,872.05,160.97
Presidente Kubitschek,,,,,,,2014,915.24,124.85
Presidente Olegário,,,,,,,2014,1132.43,113.25
Prudente de Morais,,,,,,,2014,1120.64,94.96
Quartel Geral,,,,,,,2014,886.74,111.83
Queluzito,,,,,,,2014,1115.1,46.09
Raposos,,,,,,,2014,1071.56,32.22
Raul Soares,,,,,,,2014,1003.22,126.14
Recreio,,,,,,,2014,800.48,144.53
Reduto,,,,,,,2014,1010.05,104.95
Resende Costa,,,,,,,2014,893.19,26.92
Resplendor,,,,,,,2014,1028.2,109.44
Ressaquinha,,,,,,,2014,952.86,160.68
Riachinho,,,,,,,2014,1058.8,217.23
Riacho dos Machados,,,,,,,2014,1513.54,238.54
Ribeirão das Neves,,,,,,,2014,1121.36,60.24
Ribeirão Vermelho,,,,,,,2014,964.34,88.09
Rio Acima,,,,,,,2014,1349.41,48.9
Rio Casca,,,,,,,2014,839.34,137.37
Rio Doce,,,,,,,2014,1036.35,95.57
Rio do Prado,,,,,,,2014,813.64,292.01
Rio Espera,,,,,,,2014,877.35,172.14
Rio Manso,,,,,,,2014,950.77,59.12
Rio Novo,,,,,,,2014,829.58,90.93
Rio Paranaíba,,,,,,,2014,1238.44,68.44
Rio Pardo de Minas,,,,,,,2014,844.56,220.7
Rio Piracicaba,,,,,,,2014,1082.73,134.57
Rio Pomba,,,,,,,2014,1517.72,76.97
Rio Preto,,,,,,,2014,741.46,148.45
Rio Vermelho,,,,,,,2014,826.09,168.71
Ritápolis,,,,,,,2014,916.07,111.15
Rochedo de Minas,,,,,,,2014,849.39,116.04
Rodeiro,,,,,,,2014,1077.36,49.04
Romaria,,,,,,,2014,970.05,72.22
Rosário da Limeira,,,,,,,2014,786.05,91.68
Rubelita,,,,,,,2014,842.25,229.04
Rubim,,,,,,,2014,1181.91,211.27
Sabará,,,,,,,2014,1396.46,45.36
Sabinópolis,,,,,,,2014,933.47,117.71
Sacramento,,,,,,,2014,1123.27,44.04
Salinas,,,,,,,2014,894.41,112.62
Salto da Divisa,,,,,,,2014,1346.59,237.47
Santa Bárbara do Leste,,,,,,,2014,843.67,138.47
Santa Bárbara do Monte Verde,,,,,,,2014,834.94,141.75
Santa Bárbara do Tugúrio,,,,,,,2014,918.07,139.74
Santa Bárbara,,,,,,,2014,1354.09,100.09
Santa Cruz de Minas,,,,,,,2014,890.75,56.74
Santa Cruz de Salinas,,,,,,,2014,840.5,274.31
Santa Cruz do Escalvado,,,,,,,2014,1033.98,140.29
Santa Efigênia de Minas,,,,,,,2014,711.11,310.48
Santa Fé de Minas,,,,,,,2014,703.68,345.54
Santa Helena de Minas,,,,,,,2014,860.36,301.51
Santa Juliana,,,,,,,2014,1554.57,71.28
Santa Luzia,,,,,,,2014,1391.49,62.38
Santa Margarida,,,,,,,2014,903.21,170.87
Santa Maria de Itabira,,,,,,,2014,862.75,79.94
Santa Maria do Salto,,,,,,,2014,950.42,206.04
Santa Maria do Suaçuí,,,,,,,2014,770.89,180.47
Santana da Vargem,,,,,,,2014,847.38,104.37
Santana de Cataguases,,,,,,,2014,886.02,104.03
Santana de Pirapama,,,,,,,2014,877.8,111.26
Santana do Deserto,,,,,,,2014,1010.19,61.43
Santana do Garambéu,,,,,,,2014,970.37,117.34
Santana do Jacaré,,,,,,,2014,920.98,139.87
Santana do Manhuaçu,,,,,,,2014,833.67,135.03
Santana do Paraíso,,,,,,,2014,1135.3,101.09
Santana do Riacho,,,,,,,2014,916.78,150.26
Santana dos Montes,,,,,,,2014,882.8,127.9
Santa Rita de Caldas,,,,,,,2014,1119.77,65.35
Santa Rita de Ibitipoca,,,,,,,2014,1065.91,127.14
Santa Rita de Jacutinga,,,,,,,2014,767.02,108.51
Santa Rita de Minas,,,,,,,2014,780.02,105.97
Santa Rita do Itueto,,,,,,,2014,907.57,169.67
Santa Rita do Sapucaí,,,,,,,2014,1409.02,31.55
Santa Rosa da Serra,,,,,,,2014,1017.74,125.46
Santa Vitória,,,,,,,2014,1489.85,55.74
Santo Antônio do Amparo,,,,,,,2014,961.11,122.34
Santo Antônio do Aventureiro,,,,,,,2014,866.69,88.51
Santo Antônio do Grama,,,,,,,2014,1145.56,87.33
Santo Antônio do Itambé,,,,,,,2014,778.46,246.44
Santo Antônio do Jacinto,,,,,,,2014,804.13,166.2
Santo Antônio do Monte,,,,,,,2014,925.6,40.89
Santo Antônio do Retiro,,,,,,,2014,955.35,288.85
Santo Antônio do Rio Abaixo,,,,,,,2014,990.19,143.75
Santo Hipólito,,,,,,,2014,839.77,196.55
Santos Dumont,,,,,,,2014,1049.6,76.6
São Bento Abade,,,,,,,2014,1034.32,78.9
São Brás do Suaçuí,,,,,,,2014,1307.08,56.47
São Domingos das Dores,,,,,,,2014,909.97,189.34
São Domingos do Prata,,,,,,,2014,941.42,74.31
São Félix de Minas,,,,,,,2014,739.4,186.74
São Francisco de Paula,,,,,,,2014,974.81,90.88
São Francisco de Sales,,,,,,,2014,1048.56,110.05
São Francisco do Glória,,,,,,,2014,919.49,128.09
São Francisco,,,,,,,2014,979.25,207.84
São Geraldo da Piedade,,,,,,,2014,994.45,265.8
São Geraldo do Baixio,,,,,,,2014,858.73,200.36
São Geraldo,,,,,,,2014,982.72,87.43
São Gonçalo do Abaeté,,,,,,,2014,1009.64,119.28
São Gonçalo do Pará,,,,,,,2014,946.6,59.45
São Gonçalo do Rio Abaixo,,,,,,,2014,1532.46,69.57
São Gonçalo do Rio Preto,,,,,,,2014,779.91,239.12
São Gonçalo do Sapucaí,,,,,,,2014,961.79,88.82
São Gotardo,,,,,,,2014,1244.81,58.32
São João Batista do Glória,,,,,,,2014,942.6,31.07
São João da Lagoa,,,,,,,2014,779.91,227.19
São João da Mata,,,,,,,2014,961.52,91.55
São João da Ponte,,,,,,,2014,920.75,281.15
São João das Missões,,,,,,,2014,1042.36,408.46
São João Del Rei,,,,,,,2014,1455.27,55.17
São João do Manhuaçu,,,,,,,2014,868.33,182.44
São João do Manteninha,,,,,,,2014,809.54,111.73
São João do Oriente,,,,,,,2014,880.32,135.74
São João do Pacuí,,,,,,,2014,752.68,279.07
São João do Paraíso,,,,,,,2014,722.09,144.18
São João Evangelista,,,,,,,2014,872.77,215.28
São João Nepomuceno,,,,,,,2014,889.65,71.31
São Joaquim de Bicas,,,,,,,2014,1368.64,79.91
São José da Barra,,,,,,,2014,2481.71,37.76
São José da Lapa,,,,,,,2014,1715.78,79.05
São José da Safira,,,,,,,2014,896.59,275.72
São José da Varginha,,,,,,,2014,885.74,51.84
São José do Alegre,,,,,,,2014,1070.46,50.81
São José do Divino,,,,,,,2014,1141.34,206.07
São José do Goiabal,,,,,,,2014,850.73,96.9
São José do Jacuri,,,,,,,2014,812.39,193.41
São José do Mantimento,,,,,,,2014,826.25,174.57
São Lourenço,,,,,,,2014,1013.25,47.85
São Miguel do Anta,,,,,,,2014,877.56,160.12
São Pedro da União,,,,,,,2014,969.34,97.28
São Pedro dos Ferros,,,,,,,2014,894.84,109.66
São Pedro do Suaçuí,,,,,,,2014,938.13,183.21
São Romão,,,,,,,2014,1048.26,212.4
São Roque de Minas,,,,,,,2014,1090.04,67.28
São Sebastião da Bela Vista,,,,,,,2014,876.1,63.52
São Sebastião da Vargem Alegre,,,,,,,2014,942.9,128.02
São Sebastião do Anta,,,,,,,2014,851.64,224.19
São Sebastião do Maranhão,,,,,,,2014,770.69,187.63
São Sebastião do Oeste,,,,,,,2014,1162.73,74.5
São Sebastião do Paraíso,,,,,,,2014,1078.96,49.36
São Sebastião do Rio Preto,,,,,,,2014,954.6,70.31
São Sebastião do Rio Verde,,,,,,,2014,935.51,75.72
São Thomé das Letras,,,,,,,2014,949.74,107.33
São Tiago,,,,,,,2014,882.87,33.05
São Tomás de Aquino,,,,,,,2014,947.92,73.47
São Vicente de Minas,,,,,,,2014,926.54,79.58
Sapucaí-Mirim,,,,,,,2014,1028.2,87.27
Sardoá,,,,,,,2014,767.86,197.31
Sarzedo,,,,,,,2014,1598.49,30.1
Sem-Peixe,,,,,,,2014,999.71,195.93
Senador Amaral,,,,,,,2014,809.75,137.46
Senador Cortes,,,,,,,2014,704.46,83.13
Senador Firmino,,,,,,,2014,847.52,104.9
Senador José Bento,,,,,,,2014,1017.45,65.38
Senador Modestino Gonçalves,,,,,,,2014,817.94,189.23
Senhora de Oliveira,,,,,,,2014,867.58,174.73
Senhora do Porto,,,,,,,2014,779.35,181.56
Senhora dos Remédios,,,,,,,2014,758.86,138.65
Sericita,,,,,,,2014,731.79,111.19
Seritinga,,,,,,,2014,948.86,67.18
Serra Azul de Minas,,,,,,,2014,838.56,214.36
Serra da Saudade,,,,,,,2014,860.9,50.5
Serra dos Aimorés,,,,,,,2014,1167.91,107.75
Serra do Salitre,,,,,,,2014,1146.21,149.24
Serrania,,,,,,,2014,883.71,105.22
Serranópolis de Minas,,,,,,,2014,1014.18,212.81
Serranos,,,,,,,2014,1090.78,106.26
Serro,,,,,,,2014,994.02,92.1
Sete Lagoas,,,,,,,2014,1289.51,30.12
Setubinha,,,,,,,2014,798.43,395.04
Silveirânia,,,,,,,2014,1059.74,99.05
Silvianópolis,,,,,,,2014,985.88,47.9
Simão Pereira,,,,,,,2014,1021.41,114.63
Simonésia,,,,,,,2014,943.41,122.78
Sobrália,,,,,,,2014,892.48,247.59
Soledade de Minas,,,,,,,2014,921.74,55.63
Tabuleiro,,,,,,,2014,864.69,91.81
Taiobeiras,,,,,,,2014,886.02,143.69
Taparuba,,,,,,,2014,748.03,192.26
Tapiraí,,,,,,,2014,995.64,58.94
Tapira,,,,,,,2014,1961.46,92.47
Taquaraçu de Minas,,,,,,,2014,1001.28,112.37
Tarumirim,,,,,,,2014,807.56,142.69
Teixeiras,,,,,,,2014,815.13,128.24
Teófilo Otoni,,,,,,,2014,1039.41,86.41
Timóteo,,,,,,,2014,1457.97,33.48
Tiradentes,,,,,,,2014,884.43,60.39
Tiros,,,,,,,2014,1189.71,92.68
Tocantins,,,,,,,2014,984.97,80.22
Tocos do Moji,,,,,,,2014,949.09,63.71
Toledo,,,,,,,2014,1015.02,70.74
Tombos,,,,,,,2014,901.46,118.55
Três Corações,,,,,,,2014,1187.28,62.76
Três Marias,,,,,,,2014,1236.68,64.53
Três Pontas,,,,,,,2014,971.02,71.86
Tumiritinga,,,,,,,2014,775.01,254.25
Tupaciguara,,,,,,,2014,1253.26,103.75
Turmalina,,,,,,,2014,1100.44,108.61
Turvolândia,,,,,,,2014,895.27,88.96
Ubaí,,,,,,,2014,868.0,247.05
Ubá,,,,,,,2014,1112.44,40.49
Ubaporanga,,,,,,,2014,848.92,164.24
Uberaba,,,,,,,2014,1558.83,26.94
Uberlândia,,,,,,,2014,1577.08,23.52
Umburatiba,,,,,,,2014,851.26,249.27
Unaí,,,,,,,2014,1163.43,62.39
União de Minas,,,,,,,2014,990.84,135.08
Uruana de Minas,,,,,,,2014,957.76,222.15
Urucânia,,,,,,,2014,985.83,101.06
Urucuia,,,,,,,2014,829.0,218.86
Vargem Alegre,,,,,,,2014,917.95,173.5
Vargem Bonita,,,,,,,2014,1074.04,81.8
Vargem Grande do Rio Pardo,,,,,,,2014,713.29,294.95
Varginha,,,,,,,2014,1312.0,22.44
Varjão de Minas,,,,,,,2014,1129.48,73.53
Várzea da Palma,,,,,,,2014,1071.67,87.33
Varzelândia,,,,,,,2014,919.37,229.86
Vazante,,,,,,,2014,1410.42,73.49
Verdelândia,,,,,,,2014,843.03,211.68
Veredinha,,,,,,,2014,715.68,180.68
Veríssimo,,,,,,,2014,1114.44,52.28
Vermelho Novo,,,,,,,2014,961.61,195.03
Vespasiano,,,,,,,2014,1652.05,50.3
Viçosa,,,,,,,2014,1964.17,67.38
Vieiras,,,,,,,2014,787.72,154.04
Virgem da Lapa,,,,,,,2014,945.88,174.65
Virgínia,,,,,,,2014,837.27,126.94
Virginópolis,,,,,,,2014,1013.65,106.21
Virgolândia,,,,,,,2014,1055.86,262.56
Visconde do Rio Branco,,,,,,,2014,1017.58,64.41
Volta Grande,,,,,,,2014,879.44,151.36
Wenceslau Braz,,,,,,,2014,1007.69,122.27
Abadia dos Dourados,,,,,,,2015,930.05,59.8
Abaeté,,,,,,,2015,963.86,46.16
Abre Campo,,,,,,,2015,843.87,124.31
Acaiaca,,,,,,,2015,841.0,238.44
Açucena,,,,,,,2015,858.32,138.35
Água Boa,,,,,,,2015,793.36,231.44
Água Comprida,,,,,,,2015,1239.91,91.24
Aguanil,,,,,,,2015,811.55,72.64
Águas Formosas,,,,,,,2015,978.08,222.94
Águas Vermelhas,,,,,,,2015,808.03,223.41
Aimorés,,,,,,,2015,983.07,130.35
Aiuruoca,,,,,,,2015,975.08,46.36
Alagoa,,,,,,,2015,1075.89,99.99
Albertina,,,,,,,2015,1097.62,32.9
Além Paraíba,,,,,,,2015,972.8,79.33
Alfenas,,,,,,,2015,1470.6,47.05
Alfredo Vasconcelos,,,,,,,2015,882.09,84.64
Almenara,,,,,,,2015,974.91,174.01
Alpercata,,,,,,,2015,882.23,143.84
Alpinópolis,,,,,,,2015,1022.86,50.3
Alterosa,,,,,,,2015,901.71,72.96
Alto Caparaó,,,,,,,2015,934.25,97.5
Alto Jequitibá,,,,,,,2015,964.73,129.55
Alto Rio Doce,,,,,,,2015,921.61,182.85
Alvarenga,,,,,,,2015,784.76,173.81
Alvinópolis,,,,,,,2015,960.32,97.17
Alvorada de Minas,,,,,,,2015,994.95,216.26
Amparo do Serra,,,,,,,2015,877.67,168.6
Andradas,,,,,,,2015,1090.58,38.84
Andrelândia,,,,,,,2015,880.36,98.05
Angelândia,,,,,,,2015,924.87,324.72
Antônio Carlos,,,,,,,2015,925.71,77.74
Antônio Dias,,,,,,,2015,1072.88,146.35
Antônio Prado de Minas,,,,,,,2015,1078.47,99.97
Araçaí,,,,,,,2015,896.64,116.12
Aracitaba,,,,,,,2015,937.95,91.14
Araçuaí,,,,,,,2015,937.55,157.68
Araguari,,,,,,,2015,1210.84,42.98
Arantina,,,,,,,2015,755.65,110.61
Araponga,,,,,,,2015,910.32,129.18
Araporã,,,,,,,2015,1641.5,75.84
Arapuá,,,,,,,2015,1039.93,37.58
Araújos,,,,,,,2015,867.25,28.76
Araxá,,,,,,,2015,1510.21,36.15
Arceburgo,,,,,,,2015,1180.82,28.16
Arcos,,,,,,,2015,1250.17,32.04
Areado,,,,,,,2015,928.83,33.8
Argirita,,,,,,,2015,810.36,103.04
Aricanduva,,,,,,,2015,881.72,180.61
Arinos,,,,,,,2015,895.86,197.46
Astolfo Dutra,,,,,,,2015,762.27,43.73
Ataléia,,,,,,,2015,944.1,207.99
Augusto de Lima,,,,,,,2015,819.85,150.21
Baependi,,,,,,,2015,891.8,91.96
Baldim,,,,,,,2015,901.14,116.16
Bambuí,,,,,,,2015,1115.35,29.17
Bandeira do Sul,,,,,,,2015,833.13,32.27
Bandeira,,,,,,,2015,856.36,215.75
Barão de Cocais,,,,,,,2015,1316.54,63.8
Barão de Monte Alto,,,,,,,2015,781.63,131.28
Barbacena,,,,,,,2015,1269.58,52.24
Barra Longa,,,,,,,2015,773.26,212.71
Barroso,,,,,,,2015,1326.13,104.15
Bela Vista de Minas,,,,,,,2015,1083.58,81.3
Belmiro Braga,,,,,,,2015,832.81,81.81
Belo Horizonte,,,,,,,2015,2234.79,33.66
Belo Oriente,,,,,,,2015,1685.89,122.85
Belo Vale,,,,,,,2015,1002.7,64.2
Berilo,,,,,,,2015,898.94,165.69
Berizal,,,,,,,2015,687.31,276.53
Bertópolis,,,,,,,2015,936.17,299.64
Betim,,,,,,,2015,1910.47,57.07
Bias Fortes,,,,,,,2015,988.0,137.14
Bicas,,,,,,,2015,788.51,55.82
Biquinhas,,,,,,,2015,887.7,95.67
Boa Esperança,,,,,,,2015,934.73,66.26
Bocaina de Minas,,,,,,,2015,769.95,123.22
Bocaiúva,,,,,,,2015,879.12,148.95
Bom Despacho,,,,,,,2015,1004.53,39.58
Bom Jardim de Minas,,,,,,,2015,923.33,139.27
Bom Jesus da Penha,,,,,,,2015,1041.78,63.71
Bom Jesus do Amparo,,,,,,,2015,805.37,82.99
Bom Jesus do Galho,,,,,,,2015,808.65,176.39
Bom Repouso,,,,,,,2015,867.33,104.51
Bom Sucesso,,,,,,,2015,917.15,50.4
Bonfim,,,,,,,2015,869.41,93.19
Bonfinópolis de Minas,,,,,,,2015,1016.45,86.72
Bonito de Minas,,,,,,,2015,951.61,322.48
Borda da Mata,,,,,,,2015,963.72,35.64
Botelhos,,,,,,,2015,911.49,67.54
Botumirim,,,,,,,2015,774.69,234.11
Brasilândia de Minas,,,,,,,2015,1050.9,130.94
Brasília de Minas,,,,,,,2015,918.04,155.97
Brasópolis,,,,,,,2015,945.56,77.08
Brás Pires,,,,,,,2015,712.05,139.18
Braúnas,,,,,,,2015,1200.04,144.49
Brumadinho,,,,,,,2015,1464.49,49.61
Bueno Brandão,,,,,,,2015,969.58,48.82
Buenópolis,,,,,,,2015,865.29,104.08
Bugre,,,,,,,2015,714.54,133.25
Buritis,,,,,,,2015,1192.1,161.49
Buritizeiro,,,,,,,2015,976.64,159.84
Cabeceira Grande,,,,,,,2015,1198.73,123.4
Cabo Verde,,,,,,,2015,896.49,62.6
Cachoeira da Prata,,,,,,,2015,861.81,49.57
Cachoeira de Minas,,,,,,,2015,1020.23,34.15
Cachoeira de Pajeú,,,,,,,2015,819.84,302.9
Cachoeira Dourada,,,,,,,2015,1272.68,54.28
Caetanópolis,,,,,,,2015,898.31,59.15
Caeté,,,,,,,2015,1101.03,48.57
Caiana,,,,,,,2015,863.53,98.08
Cajuri,,,,,,,2015,906.1,133.87
Caldas,,,,,,,2015,1399.31,43.49
Camacho,,,,,,,2015,1076.97,55.48
Camanducaia,,,,,,,2015,1107.47,57.78
Cambuí,,,,,,,2015,1042.59,30.37
Cambuquira,,,,,,,2015,829.49,70.65
Campanário,,,,,,,2015,891.8,174.98
Campanha,,,,,,,2015,897.48,60.34
Campestre,,,,,,,2015,908.13,44.97
Campina Verde,,,,,,,2015,1026.78,91.34
Campo Azul,,,,,,,2015,723.12,275.63
Campo Belo,,,,,,,2015,933.82,56.15
Campo do Meio,,,,,,,2015,866.6,104.16
Campo Florido,,,,,,,2015,1258.75,101.51
Campos Altos,,,,,,,2015,1056.0,81.65
Campos Gerais,,,,,,,2015,698.58,72.09
Canaã,,,,,,,2015,761.18,93.53
Canápolis,,,,,,,2015,878.68,34.35
Cana Verde,,,,,,,2015,827.53,73.89
Candeias,,,,,,,2015,890.87,52.86
Cantagalo,,,,,,,2015,767.94,164.68
Caparaó,,,,,,,2015,957.63,155.23
Capela Nova,,,,,,,2015,1050.17,96.33
Capelinha,,,,,,,2015,1035.67,139.86
Capetinga,,,,,,,2015,852.21,80.15
Capim Branco,,,,,,,2015,845.12,41.27
Capinópolis,,,,,,,2015,1025.73,56.15
Capitão Andrade,,,,,,,2015,775.85,177.95
Capitão Enéas,,,,,,,2015,962.97,241.46
Capitólio,,,,,,,2015,1004.62,44.44
Caputira,,,,,,,2015,682.48,199.26
Caraí,,,,,,,2015,996.19,193.42
Caranaíba,,,,,,,2015,987.32,120.52
Carandaí,,,,,,,2015,997.53,101.48
Carangola,,,,,,,2015,947.93,88.75
Caratinga,,,,,,,2015,1003.54,74.83
Carbonita,,,,,,,2015,832.66,140.31
Careaçu,,,,,,,2015,912.08,70.25
Carlos Chagas,,,,,,,2015,916.88,117.34
Carmésia,,,,,,,2015,965.77,99.04
Carmo da Cachoeira,,,,,,,2015,773.05,97.67
Carmo da Mata,,,,,,,2015,993.69,71.92
Carmo de Minas,,,,,,,2015,867.93,102.97
Carmo do Cajuru,,,,,,,2015,1122.61,33.93
Carmo do Paranaíba,,,,,,,2015,1107.61,38.87
Carmo do Rio Claro,,,,,,,2015,925.18,44.57
Carmópolis de Minas,,,,,,,2015,976.43,46.63
Carneirinho,,,,,,,2015,1239.19,61.35
Carrancas,,,,,,,2015,1000.91,65.39
Carvalhópolis,,,,,,,2015,957.3,65.9
Carvalhos,,,,,,,2015,996.55,129.26
Casa Grande,,,,,,,2015,949.7,66.9
Cascalho Rico,,,,,,,2015,890.68,57.41
Cássia,,,,,,,2015,1031.57,55.18
Cataguases,,,,,,,2015,1126.33,51.28
Catas Altas da Noruega,,,,,,,2015,765.3,139.79
Catas Altas,,,,,,,2015,1137.34,41.53
Catuji,,,,,,,2015,768.93,365.32
Catuti,,,,,,,2015,805.61,248.04
Caxambu,,,,,,,2015,941.11,69.92
Cedro do Abaeté,,,,,,,2015,1013.28,104.5
Central de Minas,,,,,,,2015,817.66,253.2
Centralina,,,,,,,2015,997.81,95.87
Chácara,,,,,,,2015,833.08,90.51
Chalé,,,,,,,2015,881.62,136.91
Chapada do Norte,,,,,,,2015,907.2,146.6
Chapada Gaúcha,,,,,,,2015,1064.8,252.4
Chiador,,,,,,,2015,827.45,104.5
Cipotânea,,,,,,,2015,852.2,138.6
Claraval,,,,,,,2015,940.14,92.22
Claro dos Poções,,,,,,,2015,756.19,242.24
Cláudio,,,,,,,2015,988.97,29.44
Coimbra,,,,,,,2015,941.56,106.85
Coluna,,,,,,,2015,805.76,192.17
Comendador Gomes,,,,,,,2015,1125.62,134.6
Comercinho,,,,,,,2015,931.37,298.27
Conceição da Aparecida,,,,,,,2015,902.5,63.39
Conceição da Barra de Minas,,,,,,,2015,925.34,91.93
Conceição das Alagoas,,,,,,,2015,1664.18,51.64
Conceição das Pedras,,,,,,,2015,959.91,94.73
Conceição de Ipanema,,,,,,,2015,985.24,137.05
Conceição do Mato Dentro,,,,,,,2015,2467.95,191.64
Conceição do Pará,,,,,,,2015,1573.93,69.27
Conceição do Rio Verde,,,,,,,2015,800.5,80.75
Conceição dos Ouros,,,,,,,2015,875.34,46.33
Cônego Marinho,,,,,,,2015,820.27,336.15
Confins,,,,,,,2015,2159.71,46.51
Congonhal,,,,,,,2015,988.52,53.14
Congonhas do Norte,,,,,,,2015,855.79,295.63
Congonhas,,,,,,,2015,1637.27,26.53
Conquista,,,,,,,2015,1559.29,46.75
Conselheiro Lafaiete,,,,,,,2015,1074.39,21.46
Conselheiro Pena,,,,,,,2015,1093.58,94.22
Consolação,,,,,,,2015,1175.57,101.8
Contagem,,,,,,,2015,1476.62,45.23
Coqueiral,,,,,,,2015,790.48,107.95
Coração de Jesus,,,,,,,2015,779.19,226.24
Cordisburgo,,,,,,,2015,906.42,82.15
Cordislândia,,,,,,,2015,878.85,128.89
Corinto,,,,,,,2015,843.36,107.17
Coroaci,,,,,,,2015,932.34,205.83
Coromandel,,,,,,,2015,1056.62,52.35
Coronel Fabriciano,,,,,,,2015,1035.51,46.83
Coronel Murta,,,,,,,2015,863.55,228.73
Coronel Pacheco,,,,,,,2015,899.56,70.52
Coronel Xavier Chaves,,,,,,,2015,940.82,43.39
Córrego Danta,,,,,,,2015,908.68,68.97
Córrego do Bom Jesus,,,,,,,2015,1015.83,55.73
Córrego Fundo,,,,,,,2015,1053.87,30.93
Córrego Novo,,,,,,,2015,771.37,187.09
Couto de Magalhães de Minas,,,,,,,2015,867.12,150.29
Crisólita,,,,,,,2015,912.92,214.64
Cristais,,,,,,,2015,745.04,57.36
Cristália,,,,,,,2015,845.97,336.66
Cristiano Otoni,,,,,,,2015,878.93,65.45
Cristina,,,,,,,2015,904.47,73.55
Crucilândia,,,,,,,2015,878.81,91.56
Cruzeiro da Fortaleza,,,,,,,2015,1074.87,91.78
Cruzília,,,,,,,2015,935.1,101.31
Cuparaque,,,,,,,2015,769.05,163.53
Curral de Dentro,,,,,,,2015,902.63,245.96
Curvelo,,,,,,,2015,1015.39,72.43
Datas,,,,,,,2015,931.88,152.97
Delfim Moreira,,,,,,,2015,896.48,61.54
Delfinópolis,,,,,,,2015,980.19,48.03
Delta,,,,,,,2015,2059.31,83.63
Descoberto,,,,,,,2015,715.65,84.15
Desterro de Entre Rios,,,,,,,2015,877.61,55.67
Desterro do Melo,,,,,,,2015,943.19,129.48
Diamantina,,,,,,,2015,1727.99,87.63
Diogo de Vasconcelos,,,,,,,2015,925.52,177.49
Dionísio,,,,,,,2015,703.47,94.19
Divinésia,,,,,,,2015,775.47,70.64
Divino das Laranjeiras,,,,,,,2015,806.73,116.01
Divinolândia de Minas,,,,,,,2015,775.76,294.14
Divino,,,,,,,2015,917.8,231.05
Divinópolis,,,,,,,2015,1239.71,15.66
Divisa Alegre,,,,,,,2015,1163.17,183.69
Divisa Nova,,,,,,,2015,835.47,64.03
Divisópolis,,,,,,,2015,941.25,261.97
Dom Bosco,,,,,,,2015,986.24,112.94
Dom Cavati,,,,,,,2015,834.34,124.09
Dom Joaquim,,,,,,,2015,904.84,166.33
Dom Silvério,,,,,,,2015,1011.89,75.15
Dom Viçoso,,,,,,,2015,897.31,52.03
Dona Eusébia,,,,,,,2015,705.05,52.87
Dores de Campos,,,,,,,2015,944.12,23.23
Dores de Guanhães,,,,,,,2015,1051.28,117.35
Dores do Indaiá,,,,,,,2015,880.52,48.95
Dores do Turvo,,,,,,,2015,782.35,158.91
Doresópolis,,,,,,,2015,2003.63,142.22
Douradoquara,,,,,,,2015,922.19,101.62
Durandé,,,,,,,2015,1058.43,135.42
Elói Mendes,,,,,,,2015,975.43,61.43
Engenheiro Caldas,,,,,,,2015,758.4,104.03
Engenheiro Navarro,,,,,,,2015,827.68,230.7
Entre Folhas,,,,,,,2015,1024.99,165.43
Entre Rios de Minas,,,,,,,2015,934.39,68.7
Ervália,,,,,,,2015,806.79,93.29
Esmeraldas,,,,,,,2015,1076.38,96.35
Espera Feliz,,,,,,,2015,873.11,121.14
Espinosa,,,,,,,2015,793.74,184.26
Espírito Santo do Dourado,,,,,,,2015,916.48,77.34
Estiva,,,,,,,2015,1097.46,43.31
Estrela Dalva,,,,,,,2015,772.97,90.84
Estrela do Indaiá,,,,,,,2015,923.34,57.82
Estrela do Sul,,,,,,,2015,1066.8,76.74
Eugenópolis,,,,,,,2015,820.61,122.78
Ewbank da Câmara,,,,,,,2015,785.4,127.87
Extrema,,,,,,,2015,1468.82,38.54
Fama,,,,,,,2015,968.69,52.97
Faria Lemos,,,,,,,2015,898.92,166.49
Felício dos Santos,,,,,,,2015,883.05,181.52
Felisburgo,,,,,,,2015,881.62,280.64
Felixlândia,,,,,,,2015,1154.64,96.7
Fernandes Tourinho,,,,,,,2015,803.15,110.54
Ferros,,,,,,,2015,929.47,91.53
Fervedouro,,,,,,,2015,826.4,124.81
Florestal,,,,,,,2015,944.7,67.79
Formiga,,,,,,,2015,1053.12,34.2
Formoso,,,,,,,2015,963.58,214.14
Fortaleza de Minas,,,,,,,2015,1181.3,43.89
Fortuna de Minas,,,,,,,2015,895.99,96.83
Francisco Badaró,,,,,,,2015,970.05,114.66
Francisco Dumont,,,,,,,2015,705.64,202.33
Franciscópolis,,,,,,,2015,1198.2,202.63
Francisco Sá,,,,,,,2015,846.88,134.85
Frei Gaspar,,,,,,,2015,711.39,235.18
Frei Inocêncio,,,,,,,2015,744.19,159.35
Frei Lagonegro,,,,,,,2015,764.51,242.18
Fronteira dos Vales,,,,,,,2015,749.83,243.28
Fronteira,,,,,,,2015,1466.05,72.5
Fruta de Leite,,,,,,,2015,731.65,225.8
Frutal,,,,,,,2015,1266.27,31.42
Funilândia,,,,,,,2015,919.33,120.37
Galiléia,,,,,,,2015,850.94,141.95
Gameleiras,,,,,,,2015,750.22,238.56
Glaucilândia,,,,,,,2015,734.59,159.25
Goiabeira,,,,,,,2015,785.09,139.46
