NOME_MUN,EXP_VIDA_AO_NASCER,MORTALIDADE_INFANTIL,IDHM,IDHM_RENDA,IDHM_LONGEVIDADE,IDHM_EDU,ANO,REND_MEDIO_FORMAL,TRANSF_PER_CAPITA_BOLSA_FAMILIA
Chapada do Norte,72.86,18.8,0.598,0.571,0.798,0.469,2010,,
Chapada Gaúcha,74.22,16.6,0.635,0.573,0.82,0.546,2010,,
Chiador,77.05,12.4,0.711,0.742,0.868,0.559,2010,,
Cipotânea,69.97,24.3,0.579,0.592,0.75,0.437,2010,,
Claraval,75.88,14.0,0.698,0.687,0.848,0.584,2010,,
Claro dos Poções,72.96,18.7,0.67,0.601,0.799,0.625,2010,,
Cláudio,75.75,14.2,0.709,0.701,0.846,0.602,2010,,
Coimbra,74.49,16.1,0.669,0.649,0.825,0.558,2010,,
Coluna,71.91,20.5,0.583,0.59,0.782,0.43,2010,,
Comendador Gomes,76.01,13.8,0.697,0.703,0.85,0.566,2010,,
Comercinho,72.83,18.9,0.593,0.566,0.797,0.462,2010,,
Conceição da Aparecida,75.83,14.1,0.691,0.688,0.847,0.566,2010,,
Conceição da Barra de Minas,73.91,17.1,0.685,0.668,0.815,0.59,2010,,
Conceição das Alagoas,76.72,12.8,0.712,0.734,0.862,0.57,2010,,
Conceição das Pedras,74.25,16.5,0.668,0.642,0.821,0.566,2010,,
Conceição de Ipanema,74.51,16.1,0.676,0.664,0.825,0.565,2010,,
Conceição do Mato Dentro,72.65,19.2,0.634,0.622,0.794,0.517,2010,,
Conceição do Pará,75.97,13.9,0.7,0.687,0.85,0.588,2010,,
Conceição do Rio Verde,75.01,15.3,0.665,0.675,0.834,0.522,2010,,
Conceição dos Ouros,75.49,14.6,0.703,0.668,0.842,0.618,2010,,
Cônego Marinho,72.96,18.7,0.621,0.55,0.799,0.544,2010,,
Confins,74.79,15.7,0.747,0.706,0.83,0.711,2010,,
Congonhal,75.81,14.1,0.712,0.681,0.847,0.626,2010,,
Congonhas do Norte,69.74,24.8,0.568,0.566,0.746,0.433,2010,,
Congonhas,77.59,11.6,0.753,0.732,0.877,0.665,2010,,
Conquista,77.59,11.6,0.729,0.714,0.877,0.618,2010,,
Conselheiro Lafaiete,76.62,14.12,0.761,0.736,0.86,0.697,2010,,
Conselheiro Pena,75.24,15.0,0.662,0.646,0.837,0.537,2010,,
Consolação,73.36,18.0,0.673,0.627,0.806,0.602,2010,,
Contagem,74.94,15.4,0.756,0.745,0.832,0.697,2010,,
Coqueiral,75.26,14.9,0.694,0.663,0.838,0.601,2010,,
Coração de Jesus,73.48,17.8,0.642,0.575,0.808,0.57,2010,,
Cordisburgo,72.17,20.1,0.656,0.644,0.786,0.558,2010,,
Cordislândia,73.39,17.9,0.66,0.654,0.807,0.544,2010,,
Corinto,75.49,14.6,0.68,0.664,0.842,0.562,2010,,
Coroaci,73.64,17.5,0.626,0.613,0.811,0.493,2010,,
Coromandel,76.57,13.0,0.708,0.73,0.86,0.565,2010,,
Coronel Fabriciano,76.88,12.54,0.755,0.715,0.865,0.696,2010,,
Coronel Murta,72.05,20.3,0.627,0.578,0.784,0.543,2010,,
Coronel Pacheco,72.36,19.7,0.669,0.673,0.789,0.565,2010,,
Coronel Xavier Chaves,74.4,16.3,0.677,0.67,0.823,0.563,2010,,
Córrego Danta,75.61,14.4,0.692,0.683,0.844,0.575,2010,,
Córrego do Bom Jesus,75.4,14.7,0.692,0.665,0.84,0.592,2010,,
Córrego Fundo,72.67,19.2,0.678,0.657,0.795,0.597,2010,,
Córrego Novo,73.32,18.1,0.632,0.596,0.805,0.525,2010,,
Couto de Magalhães de Minas,73.4,17.9,0.659,0.6,0.807,0.592,2010,,
Crisólita,72.96,18.7,0.585,0.579,0.799,0.432,2010,,
Cristais,76.54,13.1,0.692,0.736,0.859,0.525,2010,,
Cristália,72.71,19.1,0.583,0.518,0.795,0.482,2010,,
Cristiano Otoni,74.39,16.3,0.695,0.651,0.823,0.626,2010,,
Cristina,75.53,14.5,0.668,0.645,0.842,0.55,2010,,
Crucilândia,73.97,17.0,0.651,0.653,0.816,0.518,2010,,
Cruzeiro da Fortaleza,74.94,15.4,0.696,0.72,0.832,0.562,2010,,
Cruzília,76.17,13.6,0.695,0.671,0.853,0.587,2010,,
Cuparaque,72.85,18.8,0.627,0.621,0.798,0.497,2010,,
Curral de Dentro,70.51,23.2,0.585,0.571,0.759,0.462,2010,,
Curvelo,76.05,13.8,0.713,0.689,0.851,0.617,2010,,
Datas,70.36,23.5,0.616,0.59,0.756,0.524,2010,,
Delfim Moreira,75.2,15.0,0.669,0.649,0.837,0.552,2010,,
Delfinópolis,77.31,12.0,0.74,0.702,0.872,0.661,2010,,
Delta,73.46,17.8,0.639,0.672,0.808,0.481,2010,,
Descoberto,72.85,18.9,0.68,0.657,0.798,0.599,2010,,
Desterro de Entre Rios,73.14,18.4,0.639,0.607,0.802,0.536,2010,,
Desterro do Melo,73.53,17.7,0.631,0.618,0.809,0.503,2010,,
Diamantina,75.33,14.8,0.716,0.693,0.839,0.632,2010,,
Diogo de Vasconcelos,73.63,17.5,0.601,0.578,0.811,0.464,2010,,
Dionísio,74.24,16.5,0.702,0.651,0.821,0.647,2010,,
Divinésia,72.11,20.2,0.657,0.645,0.785,0.559,2010,,
Divino das Laranjeiras,73.64,17.5,0.661,0.624,0.811,0.571,2010,,
Divinolândia de Minas,73.72,17.4,0.623,0.603,0.812,0.495,2010,,
Divino,74.36,16.3,0.605,0.639,0.823,0.421,2010,,
