NOME_MUN,EXP_VIDA_AO_NASCER,MORTALIDADE_INFANTIL,IDHM,IDHM_RENDA,IDHM_LONGEVIDADE,IDHM_EDU,ANO,REND_MEDIO_FORMAL,TRANSF_PER_CAPITA_BOLSA_FAMILIA,GINI,TAXA_ALFAB,PROP_MENOS_DE_1_SM,PROP_1_A_2_SM,PROP_2_A_5_SM,PROP_5_A_10_SM,PROP_MAIS_DE_10_SM
Arcos,77.43,11.8,0.749,0.717,0.874,0.671,2010,,,0.4372,95.4,0.2965667236290197,0.2225260214385583,0.1349386360105639,0.0274040702190461,0.0086686344570452
Areado,75.84,14.1,0.727,0.7,0.847,0.649,2010,,,0.4518,93.3,0.3441438413711981,0.2129053940514199,0.0994790791463619,0.0197445807427323,0.0057973449840362
Argirita,74.0,16.9,0.643,0.645,0.817,0.505,2010,,,0.3892,90.3,0.4662267080745341,0.1649844720496894,0.0578416149068322,0.014751552795031,0.0027173913043478
Aricanduva,72.22,20.0,0.582,0.553,0.787,0.454,2010,,,0.5045,81.2,0.4922997946611909,0.0880390143737166,0.0300308008213552,0.004876796714579,0.0007700205338809
Arinos,73.88,17.1,0.656,0.607,0.815,0.57,2010,,,0.5531,86.7,0.4277747177086202,0.0955659597906912,0.0422748554117323,0.0109473974111814,0.0038556871385293
Astolfo Dutra,76.5,13.1,0.694,0.686,0.858,0.567,2010,,,0.4175,93.5,0.4648733350744319,0.2096282754418038,0.0760860102724819,0.0166274919474188,0.0044398015147558
Ataléia,73.77,17.3,0.588,0.592,0.813,0.423,2010,,,0.492,77.1,0.4791479637639761,0.0895290949155308,0.0328082918468946,0.007181914633151,0.0015506406594303
Augusto de Lima,73.9,17.1,0.656,0.622,0.815,0.557,2010,,,0.4268,86.6,0.4687349687349687,0.1421356421356421,0.0449735449735449,0.0103415103415103,0.0026455026455026
Baependi,74.97,15.4,0.681,0.664,0.833,0.57,2010,,,0.5054,90.7,0.43646408839779,0.1454671019588146,0.0531767955801105,0.0123053741838272,0.0042064289301858
Baldim,72.21,20.0,0.671,0.65,0.787,0.59,2010,,,0.4635,91.5,0.4359012055277859,0.138194648632755,0.0514554542781534,0.0102910908556306,0.0024992649220817
Bambuí,77.2,12.2,0.741,0.735,0.87,0.636,2010,,,0.4924,93.0,0.3525346759464929,0.2076114319561676,0.1107162248877042,0.0252233575201145,0.0089343008045806
Bandeira do Sul,73.14,18.4,0.692,0.681,0.802,0.608,2010,,,0.3364,91.2,0.3279569892473118,0.2905376344086021,0.0948387096774193,0.0124731182795698,0.0027956989247311
Bandeira,73.64,17.5,0.599,0.583,0.811,0.454,2010,,,0.46,72.3,0.530281690140845,0.0772300469483568,0.0255868544600938,0.0072769953051643,0.0009389671361502
Barão de Cocais,76.46,13.2,0.722,0.679,0.858,0.647,2010,,,0.4317,95.7,0.3006205564459787,0.1760161098097234,0.1181933999095878,0.0177947643118398,0.0046028027781202
Barão de Monte Alto,74.64,15.9,0.649,0.619,0.827,0.533,2010,,,0.5039,85.2,0.4673477564102564,0.1021634615384615,0.0390625,0.0072115384615384,0.0024038461538461
Barbacena,77.88,10.53,0.769,0.751,0.881,0.687,2010,,,0.5962,94.9,0.3096471437595884,0.1664290226513852,0.1087266492193845,0.0392293114339861,0.0139788827723129
Barra Longa,74.36,16.3,0.624,0.613,0.823,0.482,2010,,,0.4878,85.4,0.4676736047154172,0.0930189721864063,0.0361024129673973,0.0058942715048811,0.0018419598452753
Barroso,76.84,12.6,0.734,0.675,0.864,0.678,2010,,,0.4946,94.1,0.3506701458901672,0.1780927529355948,0.0862293915312537,0.0166646898351322,0.0042106511683074
Bela Vista de Minas,72.72,19.1,0.674,0.644,0.795,0.597,2010,,,0.4125,93.7,0.3264224290257981,0.1729296736953705,0.1018965720343974,0.0126045470609023,0.0010601955471787
Belmiro Braga,74.81,15.6,0.66,0.653,0.83,0.531,2010,,,0.4543,88.3,0.4093547285763059,0.1894844656879481,0.0525776715602594,0.0160464322294298,0.0058040286787299
Belo Horizonte,76.37,12.95,0.81,0.841,0.856,0.737,2010,,,0.6106,97.3,0.2021494731702106,0.2106866144796172,0.1619987296573508,0.0763087771902919,0.0486998062059862
Belo Oriente,73.77,17.3,0.686,0.655,0.813,0.606,2010,,,0.4383,89.6,0.2823684477339552,0.1725134340464361,0.0865862313697657,0.0137382135252965,0.0017236135050187
Belo Vale,73.86,17.1,0.655,0.672,0.814,0.514,2010,,,0.4699,92.2,0.3400602409638554,0.1813253012048192,0.0840361445783132,0.0123493975903614,0.0034638554216867
Berilo,73.97,17.0,0.628,0.58,0.816,0.524,2010,,,0.4606,82.0,0.4003058688587268,0.1152743261326706,0.0274326132670617,0.0040145287707895,0.0005735041101127
Berizal,70.41,23.4,0.604,0.56,0.757,0.52,2010,,,0.4253,77.8,0.4851485148514851,0.0723322332233223,0.02007700770077,0.0033003300330033,0.0008250825082508
Bertópolis,72.96,18.7,0.594,0.576,0.799,0.455,2010,,,0.5442,72.2,0.4653194975423266,0.0876570180229382,0.0338612779901693,0.0054614964500273,0.0016384489350081
Betim,76.82,12.68,0.749,0.709,0.864,0.687,2010,,,0.484,95.1,0.245478359268035,0.2381762142629397,0.1223171806718223,0.0245697173544728,0.006173688521003
Bias Fortes,72.75,19.0,0.62,0.605,0.796,0.495,2010,,,0.4184,86.4,0.4902137910267992,0.1150255947003914,0.0376392652815417,0.0051189400782896,0.0006022282445046
Bicas,75.99,13.8,0.744,0.726,0.85,0.667,2010,,,0.5489,93.8,0.3528333333333333,0.18825,0.1053333333333333,0.0304166666666666,0.0088333333333333
Biquinhas,76.4,13.3,0.688,0.684,0.857,0.555,2010,,,0.4126,89.8,0.3360135421074904,0.203131612357173,0.0901396529834955,0.010579771476936,0.0042319085907744
Boa Esperança,76.28,13.4,0.704,0.694,0.855,0.587,2010,,,0.4811,93.0,0.3889860667108993,0.1666566137885276,0.0749140478919114,0.019784064177574,0.0069364859159177
Bocaina de Minas,75.87,14.0,0.645,0.665,0.848,0.476,2010,,,0.4404,83.9,0.4017695099818512,0.1914700544464609,0.065562613430127,0.0117967332123411,0.0049909255898366
Bocaiúva,74.29,16.4,0.7,0.648,0.822,0.644,2010,,,0.5168,88.7,0.38356234356643,0.1376870817796393,0.0533534249374265,0.0126679266486182,0.0034479235837973
Bom Despacho,76.66,12.9,0.75,0.742,0.861,0.661,2010,,,0.4933,94.6,0.3077117444916111,0.2307206387709723,0.1184556296745502,0.0381544370325449,0.0141499898928643
Bom Jardim de Minas,74.34,16.4,0.673,0.653,0.822,0.569,2010,,,0.4719,89.3,0.4355828220858895,0.1467134092900964,0.0706397896581945,0.0154250657318141,0.0021034180543382
Bom Jesus da Penha,76.74,12.8,0.735,0.696,0.862,0.662,2010,,,0.4282,89.8,0.3891669119811598,0.2010597586105387,0.0912569914630556,0.0176626435089785,0.0061819252281424
Bom Jesus do Amparo,75.01,15.3,0.683,0.655,0.834,0.582,2010,,,0.4577,90.9,0.4141221374045801,0.1541560644614079,0.0636132315521628,0.0131467345207803,0.0046649703138252
Bom Jesus do Galho,73.01,18.6,0.623,0.615,0.8,0.491,2010,,,0.5047,83.2,0.446938775510204,0.1031746031746031,0.0342403628117913,0.0074829931972789,0.0021919879062736
Bom Repouso,74.25,16.5,0.653,0.647,0.821,0.523,2010,,,0.4503,90.1,0.4861234458259325,0.1558614564831261,0.0503996447602131,0.0094360568383658,0.0023312611012433
Bom Sucesso,73.49,17.8,0.692,0.68,0.808,0.602,2010,,,0.4995,88.8,0.4217451983784143,0.1592343988834983,0.0642653020535655,0.0162158569814581,0.0049843822688908
Bonfim,75.01,15.3,0.637,0.669,0.834,0.464,2010,,,0.4988,88.4,0.4677472167648985,0.1484937786509495,0.0528814669286182,0.0116240995415848,0.0055664702030124
Bonfinópolis de Minas,72.73,19.1,0.678,0.655,0.796,0.598,2010,,,0.4784,88.5,0.4556130573248407,0.1321656050955414,0.0611066878980891,0.0143312101910828,0.0037818471337579
Bonito de Minas,71.57,21.2,0.537,0.514,0.776,0.388,2010,,,0.5708,76.1,0.3817876950857732,0.0519798787566103,0.0177995614600799,0.0018057526118921,0.0007738939765252
Borda da Mata,76.92,12.5,0.73,0.703,0.865,0.64,2010,,,0.4633,92.3,0.3788683756142914,0.2188205604994023,0.0915792269889759,0.019590915128171,0.0057112498339752
Botelhos,77.07,12.3,0.702,0.702,0.868,0.568,2010,,,0.4707,91.6,0.3722857362080871,0.2056318575922658,0.082636384562265,0.01895189135272,0.005908079490524
Botumirim,71.94,20.5,0.602,0.54,0.782,0.517,2010,,,0.4629,85.3,0.4345952023988006,0.0798350824587706,0.0236131934032983,0.0037481259370314,0.0001874062968515
Brasilândia de Minas,75.87,14.0,0.674,0.646,0.848,0.559,2010,,,0.4433,90.6,0.3433454168824443,0.210426376661488,0.067236319696185,0.01303297082686,0.0040566200586915
Brasília de Minas,73.78,17.3,0.656,0.612,0.813,0.568,2010,,,0.5418,86.2,0.4701791518633305,0.0838687731498979,0.0337138105676921,0.0089953889182855,0.0028346813818126
Brazópolis,75.45,14.6,0.692,0.697,0.841,0.566,2010,,,0.5416,90.9,0.4187914230019493,0.1690448343079922,0.0690058479532163,0.0178557504873294,0.0050682261208577
Brás Pires,73.03,18.5,0.625,0.582,0.801,0.523,2010,,,0.4487,87.8,0.4884184308841843,0.0951432129514321,0.0316313823163138,0.0029887920298879,0.0009962640099626
Braúnas,73.1,18.4,0.624,0.635,0.802,0.478,2010,,,0.5589,83.3,0.4321100917431192,0.1162844036697247,0.0424311926605504,0.0103211009174311,0.0020642201834862
Brumadinho,76.39,13.3,0.747,0.761,0.857,0.639,2010,,,0.572,94.1,0.2689927225736244,0.1983268720669251,0.1154866353805345,0.0342447119635448,0.0272393389104264
Bueno Brandão,75.9,14.0,0.658,0.662,0.848,0.507,2010,,,0.4456,90.4,0.4354401335002086,0.1648936170212765,0.0646641635377555,0.0131414267834793,0.0039632874426366
Buenópolis,72.74,19.0,0.669,0.65,0.796,0.579,2010,,,0.4991,85.8,0.4482603310438013,0.1003265398040761,0.0480801711518973,0.0104717937169237,0.0048417970949217
Bugre,73.01,18.6,0.627,0.602,0.8,0.511,2010,,,0.4376,83.1,0.4259587020648968,0.1203539823008849,0.0392330383480825,0.0058997050147492,0.0005899705014749
Buritis,73.88,17.1,0.672,0.666,0.815,0.558,2010,,,0.572,86.6,0.4031989694595029,0.1294616499382749,0.0557135956202028,0.0136331919918415,0.0057967902957436
Buritizeiro,71.06,22.2,0.624,0.603,0.768,0.524,2010,,,0.4269,87.6,0.4066911798084343,0.1389985927640837,0.0410822098143356,0.0057197330791229,0.0013164465023378
Cabeceira Grande,72.25,19.9,0.648,0.638,0.788,0.542,2010,,,0.4826,87.0,0.3775910364145658,0.1632119514472455,0.0625583566760037,0.0147525676937441,0.0039215686274509
Cabo Verde,75.82,14.1,0.674,0.686,0.847,0.527,2010,,,0.4505,90.4,0.355021216407355,0.2003494467093768,0.08178717031367,0.0175555370663116,0.0047424910558282
Cachoeira da Prata,75.02,15.3,0.741,0.689,0.834,0.707,2010,,,0.4355,96.4,0.4021000617665225,0.1843730697961704,0.0738109944410129,0.0166769610870907,0.0055589870290302
Cachoeira de Minas,74.25,16.5,0.706,0.673,0.821,0.637,2010,,,0.4677,92.1,0.3697654941373534,0.1915829145728643,0.0673157453936348,0.0138190954773869,0.0038735343383584
Cachoeira de Pajeú,71.25,21.8,0.578,0.563,0.771,0.444,2010,,,0.523,75.6,0.456670697299476,0.0738949348381029,0.0221684804514308,0.0055085315061131,0.0008061265618702
Cachoeira Dourada,76.02,13.8,0.726,0.695,0.85,0.648,2010,,,0.3546,88.9,0.314365671641791,0.2215485074626865,0.1217350746268656,0.0293843283582089,0.0046641791044776
Caetanópolis,75.71,14.2,0.706,0.674,0.845,0.617,2010,,,0.4259,95.1,0.3684562263310314,0.2134105591445756,0.0796391178436177,0.0147026063711294,0.0050122521719759
Caeté,75.62,14.4,0.728,0.69,0.844,0.663,2010,,,0.4649,95.2,0.2989570604450254,0.1899173037028617,0.1122794054960357,0.022592287362528,0.0052573247321606
Caiana,74.98,15.4,0.633,0.631,0.833,0.483,2010,,,0.421,87.7,0.4380929791271347,0.1544117647058823,0.0474383301707779,0.0142314990512333,0.0035578747628083
Cajuri,73.26,18.1,0.617,0.599,0.804,0.487,2010,,,0.4354,89.6,0.4361732238890461,0.0922728559298046,0.0314180583073874,0.0067930936880837,0.0011321822813472
Caldas,77.35,12.0,0.687,0.701,0.873,0.529,2010,,,0.4926,92.5,0.3765205799033494,0.1984669221796367,0.0825695717380436,0.019746708881853,0.0055824029328445
Camacho,75.38,14.8,0.69,0.639,0.84,0.612,2010,,,0.4607,87.9,0.5131626397403534,0.1117922827262892,0.0389469888207717,0.0061305445366029,0.0032455824017309
Camanducaia,75.22,15.0,0.689,0.707,0.837,0.553,2010,,,0.5103,90.2,0.3184169969176574,0.2449911933069132,0.0968736239542051,0.0183289299867899,0.0061646851607221
Cambuí,77.33,12.0,0.751,0.722,0.872,0.674,2010,,,0.4685,93.2,0.3262387049805147,0.2544644768960644,0.1072759196608282,0.0245385636589439,0.0067234807931137
Cambuquira,76.34,13.3,0.699,0.691,0.856,0.577,2010,,,0.5066,91.5,0.4085727314181486,0.1686274509803921,0.0846329229366165,0.0256269949840401,0.006110351117191
Campanário,74.85,15.6,0.616,0.607,0.831,0.464,2010,,,0.4514,84.3,0.4383697813121272,0.1176275679257786,0.0361166335321404,0.0086149768058316,0.0016567263088137
Campanha,75.93,13.9,0.709,0.715,0.849,0.587,2010,,,0.5086,92.8,0.3662597950572634,0.1919831223628691,0.0962176009644364,0.027049427365883,0.009418324291742
Campestre,75.59,14.4,0.698,0.712,0.843,0.566,2010,,,0.5248,92.2,0.3934117125110914,0.1755767524401064,0.0699866903283052,0.0134205856255545,0.004159272404614
Campina Verde,77.06,12.3,0.704,0.714,0.868,0.562,2010,,,0.5055,92.4,0.3525091080032906,0.1940886120578211,0.0929016335644611,0.0251498413444588,0.0089904806675285
Campo Azul,72.96,18.7,0.621,0.55,0.799,0.546,2010,,,0.4836,81.3,0.4914322664080181,0.0598124797930811,0.0164888457807953,0.0025864856126737,0.0019398642095053
Campo Belo,77.1,12.3,0.711,0.706,0.868,0.586,2010,,,0.4752,92.0,0.38197044553249,0.1923034317743757,0.0898819150585993,0.0221547732458958,0.0070673726654407
Campo do Meio,74.61,15.9,0.683,0.655,0.827,0.588,2010,,,0.422,90.8,0.4451188669701568,0.1635811836115326,0.0526049570055639,0.0109256449165402,0.002731411229135
Campo Florido,76.46,12.6,0.706,0.735,0.858,0.558,2010,,,0.5251,92.2,0.2451287404314544,0.2101600556715379,0.1692762700069589,0.0292275574112734,0.0104384133611691
Campos Altos,76.62,13.0,0.702,0.69,0.86,0.582,2010,,,0.4052,91.0,0.3380187416331994,0.2572791164658634,0.0913654618473895,0.018908969210174,0.0062751004016064
Campos Gerais,74.27,16.5,0.682,0.666,0.821,0.58,2010,,,0.4514,89.7,0.429080874548928,0.1622160900021227,0.0523880280195287,0.0118021651454043,0.0033538526852048
Canaã,72.88,18.8,0.649,0.644,0.798,0.532,2010,,,0.5035,86.7,0.4731420161883738,0.1059602649006622,0.0424331616384596,0.0100564140299239,0.0036791758646063
Canápolis,77.32,12.0,0.722,0.721,0.872,0.598,2010,,,0.5062,86.6,0.3213996763754045,0.2201658576051779,0.1176173139158576,0.0193163430420711,0.0052588996763754
Cana Verde,74.25,16.5,0.65,0.652,0.821,0.512,2010,,,0.4336,88.8,0.4622660908903969,0.1523750771128932,0.0584001645075056,0.0106929878675714,0.0028788813489615
Candeias,74.81,15.6,0.678,0.699,0.83,0.537,2010,,,0.4831,87.1,0.465901209832781,0.1718424905602219,0.0678893426832087,0.0142559913693457,0.0050088618324728
Cantagalo,73.94,17.0,0.631,0.598,0.816,0.515,2010,,,0.4204,86.0,0.4570938215102975,0.1135583524027459,0.0389016018306636,0.005720823798627,0.0017162471395881
Caparaó,75.16,15.1,0.624,0.614,0.836,0.473,2010,,,0.4431,87.5,0.4683252706749596,0.1243953006219765,0.0375489518544114,0.0089841050449205,0.0025339783460032
Capela Nova,72.84,18.9,0.648,0.602,0.797,0.568,2010,,,0.4462,90.1,0.4991620780464448,0.1060569786928417,0.0301651903279865,0.0069427819008858,0.0016758439071103
Capelinha,74.41,16.3,0.653,0.641,0.824,0.527,2010,,,0.5335,83.5,0.4293396654677515,0.117784684149876,0.0520305897964172,0.0132346265321088,0.0045046618011663
Capetinga,75.88,14.0,0.675,0.68,0.848,0.533,2010,,,0.4324,89.5,0.3733509234828496,0.2277374670184696,0.070910290237467,0.0155013192612137,0.0031332453825857
Capim Branco,75.19,15.0,0.695,0.664,0.837,0.604,2010,,,0.4063,93.9,0.3443994249117762,0.212259835315645,0.0820807737550647,0.0165991373676643,0.0033982485949549
Capinópolis,75.47,14.6,0.723,0.747,0.841,0.601,2010,,,0.5936,88.5,0.3341974837971788,0.2059473884864658,0.1052992756385817,0.0223408311094167,0.0058711399161265
Capitão Andrade,73.28,18.1,0.624,0.63,0.805,0.478,2010,,,0.5145,83.9,0.48974609375,0.106689453125,0.03271484375,0.0078125,0.0029296875
Capitão Enéas,73.37,18.0,0.639,0.573,0.806,0.565,2010,,,0.4724,83.7,0.3880327163151097,0.0952216960826517,0.0289281102023245,0.0051657339647008,0.0017219113215669
Capitólio,74.51,16.1,0.71,0.709,0.825,0.612,2010,,,0.4049,93.4,0.3249092432281485,0.2471376710416085,0.114353532532812,0.0227590058642837,0.0067020385367215
Caputira,73.53,17.7,0.615,0.609,0.809,0.471,2010,,,0.5718,88.1,0.4284581847007531,0.0673801030519223,0.0295943982031972,0.0062095389087065,0.0019817677368212
Caraí,71.88,20.6,0.558,0.549,0.781,0.405,2010,,,0.5365,76.7,0.4530946971795866,0.0617831218485066,0.0168449049703551,0.0019393805064553,0.000498697844517
Caranaíba,73.44,17.8,0.634,0.593,0.807,0.533,2010,,,0.4423,91.8,0.4245183887915937,0.1040280210157618,0.037478108581436,0.0045534150612959,0.0007005253940455
Carandaí,74.27,16.5,0.697,0.663,0.821,0.622,2010,,,0.4786,93.3,0.3672265992765472,0.1458302363609335,0.072840790842872,0.0140726425846092,0.0034686090877558
Carangola,75.19,15.0,0.695,0.699,0.837,0.573,2010,,,0.4904,90.6,0.4006606051996022,0.1650447506748117,0.0885424065918454,0.0259269782639579,0.0083463560164796
