COD_MUN,ANO,VINCULOS_MEDIA
3161106,2024,4061.6666666666665
3161106,2025,4184.0
3161205,2007,881.0833333333334
3161205,2008,946.6666666666666
3161205,2009,995.0833333333334
3161205,2010,1015.0833333333334
3161205,2011,1091.25
3161205,2012,1178.0833333333333
3161205,2013,1220.6666666666667
3161205,2014,1292.0833333333333
3161205,2015,1373.9166666666667
3161205,2016,1402.1666666666667
3161205,2017,1399.5
3161205,2018,1409.75
3161205,2019,1414.8333333333333
3161205,2020,1487.6666666666667
3161205,2021,1525.4166666666667
3161205,2022,1555.0
3161205,2023,1555.3333333333333
3161205,2024,1592.4166666666667
3161205,2025,1581.9166666666667
3161304,2007,872.5
3161304,2008,865.8333333333334
3161304,2009,828.75
3161304,2010,924.4166666666666
3161304,2011,930.5833333333334
3161304,2012,992.8333333333334
3161304,2013,1052.1666666666667
3161304,2014,1057.3333333333333
3161304,2015,1027.8333333333333
3161304,2016,1033.25
3161304,2017,1061.8333333333333
3161304,2018,1075.4166666666667
3161304,2019,1074.3333333333333
3161304,2020,1084.1666666666667
3161304,2021,1121.75
3161304,2022,1143.4166666666667
3161304,2023,1384.4166666666667
3161304,2024,1430.4166666666667
3161304,2025,1220.25
3161403,2007,436.4166666666667
3161403,2008,423.0
3161403,2009,448.75
3161403,2010,465.3333333333333
3161403,2011,469.0833333333333
3161403,2012,468.0
3161403,2013,473.8333333333333
3161403,2014,471.0833333333333
3161403,2015,477.3333333333333
3161403,2016,468.4166666666667
3161403,2017,459.0833333333333
3161403,2018,466.25
3161403,2019,482.25
3161403,2020,507.5
3161403,2021,542.9166666666666
3161403,2022,557.75
3161403,2023,581.6666666666666
3161403,2024,588.75
3161403,2025,586.8333333333334
3161502,2007,1226.5833333333333
3161502,2008,1236.5833333333333
3161502,2009,1260.0833333333333
3161502,2010,1471.6666666666667
3161502,2011,1676.8333333333333
3161502,2012,1838.8333333333333
3161502,2013,1883.1666666666667
3161502,2014,1887.3333333333333
3161502,2015,1896.8333333333333
3161502,2016,1808.1666666666667
3161502,2017,1877.25
3161502,2018,2062.1666666666665
3161502,2019,2189.4166666666665
3161502,2020,2174.0
3161502,2021,2353.8333333333335
3161502,2022,2368.8333333333335
3161502,2023,2507.75
3161502,2024,2695.8333333333335
3161502,2025,2814.8333333333335
3161601,2007,99.33333333333333
3161601,2008,113.91666666666667
3161601,2009,118.66666666666667
3161601,2010,127.5
3161601,2011,133.58333333333334
3161601,2012,142.33333333333334
3161601,2013,165.41666666666666
3161601,2014,167.75
3161601,2015,164.08333333333334
3161601,2016,168.41666666666666
3161601,2017,166.41666666666666
3161601,2018,163.25
3161601,2019,159.16666666666666
3161601,2020,159.41666666666666
3161601,2021,158.0
3161601,2022,159.91666666666666
3161601,2023,156.5
3161601,2024,151.66666666666666
3161601,2025,156.66666666666666
3161650,2007,213.33333333333334
3161650,2008,214.91666666666666
3161650,2009,221.5
3161650,2010,232.16666666666666
3161650,2011,236.58333333333334
