,Nome,Codigo,Grupo 1 controle,Grupo 1 tratamento
259,São João Evangelista,316280.0,0.0,0
260,Rio Doce,315500.0,0.0,0
261,Juiz de Fora,313670.0,0.0,0
262,Januária,313520.0,0.0,0
263,Carandaí,311320.0,0.0,0
264,Córrego do Bom Jesus,311990.0,0.0,0
265,Iapu,312930.0,0.0,0
266,Itambacuri,313270.0,0.0,0
267,Florestal,312600.0,0.0,0
268,Paracatu,314700.0,0.0,0
269,Cruzília,312080.0,0.0,0
270,Entre Folhas,312385.0,0.0,0
271,Vargem Alegre,317057.0,0.0,0
272,Itambé do Mato Dentro,313280.0,0.0,0
273,Serro,316710.0,0.0,0
274,Cachoeira de Minas,310970.0,0.0,0
275,Tombos,316920.0,0.0,0
276,Aimorés,310110.0,0.0,0
277,Teixeiras,316850.0,0.0,0
278,Itacarambi,313210.0,0.0,0
279,Santana dos Montes,315910.0,0.0,0
280,Monsenhor Paulo,314260.0,0.0,0
281,Guaraciama,312825.0,0.0,0
282,Glaucilândia,312735.0,0.0,0
283,Miradouro,314210.0,0.0,0
284,Caetanópolis,310990.0,0.0,0
285,Veredinha,317107.0,0.0,0
286,Albertina,310140.0,0.0,0
287,Munhoz,314380.0,0.0,0
288,Elói Mendes,312360.0,0.0,0
289,Santa Maria do Salto,315810.0,0.0,0
290,Marliéria,314030.0,0.0,0
291,Maripá de Minas,314020.0,0.0,0
292,Santa Juliana,315770.0,0.0,0
293,Dom Joaquim,312260.0,0.0,0
294,São Francisco,316110.0,0.0,0
295,Mirabela,314200.0,0.0,0
296,Bom Sucesso,310800.0,0.0,0
297,Estrela Dalva,312460.0,0.0,0
298,Poté,315240.0,0.0,0
299,Areado,310430.0,0.0,0
300,Morro do Pilar,314370.0,0.0,0
301,Santa Maria do Suaçuí,315820.0,0.0,0
302,Santa Efigênia de Minas,315750.0,0.0,0
303,Nova União,313660.0,0.0,0
304,Mercês,314160.0,0.0,0
305,Rochedo de Minas,315620.0,0.0,0
306,Bocaina de Minas,310720.0,0.0,0
307,Moema,314240.0,0.0,0
308,Catas Altas da Noruega,311540.0,0.0,0
309,Sardoá,316550.0,0.0,0
310,Lajinha,313770.0,0.0,0
311,Campanha,311090.0,0.0,0
312,Coronel Murta,311950.0,0.0,0
313,Antônio Carlos,310290.0,0.0,0
314,Goiabeira,312737.0,0.0,0
315,Jequitinhonha,313580.0,0.0,0
316,Guarani,312840.0,0.0,0
317,Cristiano Otoni,312040.0,0.0,0
318,Engenheiro Navarro,312380.0,0.0,0
319,Josenópolis,313657.0,0.0,0
320,Chiador,311620.0,0.0,0
321,Serra dos Aimorés,316670.0,0.0,0
322,Porteirinha,315220.0,0.0,0
323,Divinolândia de Minas,312220.0,0.0,0
324,Águas Vermelhas,310100.0,0.0,0
325,Senador Cortes,316560.0,0.0,0
326,Gonçalves,312740.0,0.0,0
327,Serranópolis de Minas,316695.0,0.0,0
328,Matipó,314090.0,0.0,0
329,Passa Tempo,314770.0,0.0,0
330,Muzambinho,314410.0,0.0,0
331,São Sebastião do Rio Verde,316490.0,0.0,0
332,Cedro do Abaeté,311560.0,0.0,0
333,Lamim,313790.0,0.0,0
334,Mathias Lobato,317150.0,0.0,0
335,Santa Bárbara do Tugúrio,315730.0,0.0,0
336,Santo Antônio do Rio Abaixo,316050.0,0.0,0
337,Boa Esperança,310710.0,0.0,0
338,Contagem,311860.0,0.0,0
339,Chapada do Norte,311610.0,0.0,0
340,Luz,313880.0,0.0,0
341,Capela Nova,311220.0,0.0,0
342,Japonvar,313535.0,0.0,0
343,Capitólio,311280.0,0.0,0
344,Salto da Divisa,315710.0,0.0,0
345,Antônio Prado de Minas,310310.0,0.0,0
346,Uberlândia,317020.0,0.0,0
347,Guaraciaba,312820.0,0.0,0
348,Frei Inocêncio,312690.0,0.0,0
349,Cajuri,311020.0,0.0,0
350,Abaeté,310020.0,0.0,0
351,Campanário,311080.0,0.0,0
352,Montalvânia,314270.0,0.0,0
353,Toledo,316910.0,0.0,0
354,Cachoeira de Pajeú,310270.0,0.0,0
355,Presidente Bernardes,315310.0,0.0,0
356,São José do Alegre,316320.0,0.0,0
357,Doresópolis,312340.0,0.0,0
358,Raul Soares,315400.0,0.0,0
359,Piumhi,315150.0,0.0,0
360,Resende Costa,315420.0,0.0,0
361,Arapuá,310380.0,0.0,0
362,Ubaí,317000.0,0.0,0
363,Guiricema,312900.0,0.0,0
364,Itinga,313400.0,0.0,0
365,Virgem da Lapa,317160.0,0.0,0
366,Nacip Raydan,314420.0,0.0,0
367,Aracitaba,310330.0,0.0,0
368,Jordânia,313650.0,0.0,0
369,Padre Paraíso,314630.0,0.0,0
370,Francisco Sá,312670.0,0.0,0
371,Caranaíba,311310.0,0.0,0
372,Olímpio Noronha,314550.0,0.0,0
373,Machacalis,313890.0,0.0,0
374,São João do Paraíso,316270.0,0.0,0
375,São José da Safira,316300.0,0.0,0
376,Fortaleza de Minas,312630.0,0.0,0
377,Itanhomi,313320.0,0.0,0
378,Dionísio,312180.0,0.0,0
379,Varzelândia,317090.0,0.0,0
380,Cuparaque,312083.0,0.0,0
381,Mamonas,313925.0,0.0,0
382,Marilac,314010.0,0.0,0
383,José Gonçalves de Minas,313652.0,0.0,0
384,Araçaí,310320.0,0.0,0
385,Fronteira dos Vales,312705.0,0.0,0
386,Cipotânea,311630.0,0.0,0
387,Miravânia,314225.0,0.0,0
388,Piranga,315080.0,0.0,0
389,Ponto dos Volantes,315217.0,0.0,0
390,Senhora do Porto,316610.0,0.0,0
391,Luislândia,313868.0,0.0,0
392,Crucilândia,312060.0,0.0,0
393,Jacinto,313470.0,0.0,0
394,Ritápolis,315610.0,0.0,0
395,Paraguaçu,314720.0,0.0,0
396,Berizal,310665.0,0.0,0
397,São Thomé das Letras,316520.0,0.0,0
398,Divino das Laranjeiras,312210.0,0.0,0
